"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"CS00029	0.025	NC_017592.1	1	2036867	1801465	1423083	69.8663	116.538	35.5	56.2"
"CS00029	0.05	NC_017592.1	1	2036867	3601697	1593770	78.2461	233.006	35.5	56.3"
"CS00029	0.075	NC_017592.1	1	2036867	5403969	1680433	82.5009	349.673	35.5	56.3"
"CS00029	0.125	NC_017592.1	1	2036867	9011451	1781455	87.4605	583.093	35.5	56.3"
"CS00029	0.1	NC_017592.1	1	2036867	7206412	1743840	85.6138	466.277	35.5	56.3"
"CS00029	0.25	NC_017592.1	1	2036867	18017470	1889934	92.7863	1165.94	35.5	56.3"
"CS00029	0.5	NC_017592.1	1	2036867	36043031	1961019	96.2762	2332.51	35.5	56.3"
"CS00029	1.0	NC_017592.1	1	2036867	72083054	1996904	98.038	4664.98	35.5	56.3"
"CS00030	0.025	NC_017592.1	1	2036867	1085989	1767074	86.7545	66.9899	35.6	45.7"
"CS00030	0.05	NC_017592.1	1	2036867	2169661	1892102	92.8928	133.83	35.6	45.7"
"CS00030	0.075	NC_017592.1	1	2036867	3254268	1936624	95.0786	200.707	35.6	45.7"
"CS00030	0.125	NC_017592.1	1	2036867	5421311	1972255	96.8279	334.342	35.6	45.7"
"CS00030	0.1	NC_017592.1	1	2036867	4337347	1958854	96.17	267.499	35.6	45.7"
"CS00030	0.25	NC_017592.1	1	2036867	10846908	2001058	98.242	668.925	35.6	45.7"
"CS00030	0.5	NC_017592.1	1	2036867	21684978	2015806	98.966	1337.37	35.6	45.7"
"CS00030	1.0	NC_017592.1	1	2036867	43362328	2024088	99.3726	2674.51	35.6	45.7"
"CS00031	0.025	NC_017592.1	1	2036867	2136246	1311967	64.411	138.875	35.4	56.1"
"CS00031	0.05	NC_017592.1	1	2036867	4270493	1479697	72.6457	277.565	35.4	56.1"
"CS00031	0.075	NC_017592.1	1	2036867	6407029	1563361	76.7532	416.426	35.4	56.1"
"CS00031	0.125	NC_017592.1	1	2036867	10684367	1665926	81.7886	694.521	35.4	56.1"
"CS00031	0.1	NC_017592.1	1	2036867	8546455	1626506	79.8533	555.524	35.4	56.1"
"CS00031	0.25	NC_017592.1	1	2036867	21370703	1776584	87.2214	1389.16	35.4	56.1"
"CS00031	0.5	NC_017592.1	1	2036867	42739465	1849107	90.7819	2778.01	35.4	56.1"
"CS00031	1.0	NC_017592.1	1	2036867	85490685	1890639	92.8209	5556.84	35.4	56.1"
"CS00032	0.025	NC_017592.1	1	2036867	796890	1415554	69.4966	48.4628	35.7	39.4"
"CS00032	0.05	NC_017592.1	1	2036867	1591599	1562916	76.7314	96.7652	35.7	39.4"
"CS00032	0.075	NC_017592.1	1	2036867	2388455	1626456	79.8509	145.196	35.7	39.4"
"CS00032	0.125	NC_017592.1	1	2036867	3982174	1692985	83.1171	242.094	35.7	39.4"
"CS00032	0.1	NC_017592.1	1	2036867	3185035	1663061	81.648	193.606	35.7	39.4"
"CS00032	0.25	NC_017592.1	1	2036867	7971450	1760761	86.4446	484.529	35.7	39.4"
"CS00032	0.5	NC_017592.1	1	2036867	15927937	1805664	88.6491	968.219	35.7	39.4"
"CS00032	1.0	NC_017592.1	1	2036867	31851812	1843568	90.51	1934	35.7	39.4"
"CS00033	0.025	NC_017592.1	1	2036867	2092288	1419567	69.6937	138.413	35.6	55.7"
"CS00033	0.05	NC_017592.1	1	2036867	4182567	1596945	78.402	276.641	35.6	55.7"
"CS00033	0.075	NC_017592.1	1	2036867	6273180	1690680	83.0039	414.994	35.6	55.7"
