Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Yale-TB080	0.05	NC_000962.3	1	4411532	21071	597577	13.5458	0.587634	39.6	60
Yale-TB080	0.25	NC_000962.3	1	4411532	103021	1374975	31.1677	2.87983	39.6	60
Yale-TB080	0.1	NC_000962.3	1	4411532	41322	882300	19.9999	1.15356	39.6	60
Yale-TB080	0.2	NC_000962.3	1	4411532	82426	1242850	28.1728	2.30368	39.6	60
Yale-TB080	0.15	NC_000962.3	1	4411532	61882	1087622	24.6541	1.72889	39.6	60
Yale-TB080	0.5	NC_000962.3	1	4411532	206687	1820163	41.2592	5.77341	39.6	60
Yale-TB080	1	NC_000962.3	1	4411532	411669	2270225	51.4611	11.4934	39.6	60
Yale-TB108	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	0.25	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	0.2	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	0.15	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	0.5	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB108	1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB044	0.05	NC_000962.3	1	4411532	11	221	0.0050096	0.000229625	39.6	60
Yale-TB044	0.25	NC_000962.3	1	4411532	35	985	0.0223278	0.000745546	39.8	60
Yale-TB044	0.1	NC_000962.3	1	4411532	16	412	0.00933916	0.000332991	39.7	60
Yale-TB044	0.2	NC_000962.3	1	4411532	32	807	0.018293	0.00068593	39.8	60
Yale-TB044	0.15	NC_000962.3	1	4411532	26	805	0.0182476	0.000560803	39.7	60
Yale-TB044	0.5	NC_000962.3	1	4411532	62	1435	0.0325284	0.00138523	39.7	60
Yale-TB044	1	NC_000962.3	1	4411532	117	2180	0.0494159	0.00263559	39.7	60
Yale-TB062	0.05	NC_000962.3	1	4411532	14	734	0.0166382	0.000364499	39.8	60
Yale-TB062	0.25	NC_000962.3	1	4411532	50	2318	0.0525441	0.00135576	39.7	60
Yale-TB062	0.1	NC_000962.3	1	4411532	20	1132	0.02566	0.000505493	39.8	60
Yale-TB062	0.2	NC_000962.3	1	4411532	36	1698	0.03849	0.000912608	39.7	60
Yale-TB062	0.15	NC_000962.3	1	4411532	23	1265	0.0286748	0.000586191	39.8	60
Yale-TB062	0.5	NC_000962.3	1	4411532	86	3553	0.0805389	0.00238897	39.7	60
Yale-TB062	1	NC_000962.3	1	4411532	162	5800	0.131474	0.00445355	39.7	60
Yale-TB085	0.05	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB085	0.25	NC_000962.3	1	4411532	4	253	0.00573497	0.000104499	39.3	60
Yale-TB085	0.1	NC_000962.3	1	4411532	0	0	0	0	0	0
Yale-TB085	0.2	NC_000962.3	1	4411532	2	154	0.00349085	6.05E-05	39.3	60
Yale-TB085	0.15	NC_000962.3	1	4411532	2	154	0.00349085	6.05E-05	39.3	60
Yale-TB085	0.5	NC_000962.3	1	4411532	10	609	0.0138047	0.000261134	39.4	60
Yale-TB085	1	NC_000962.3	1	4411532	22	974	0.0220785	0.000533375	39.4	60
Yale-TB036	0.05	NC_000962.3	1	4411532	38	1649	0.0373793	0.000937769	39.7	60
Yale-TB036	0.25	NC_000962.3	1	4411532	229	3337	0.0756427	0.00534667	39.6	60
