Sample Name,Host Organism,Sample Type,Nucleotide Type,Collection Date,Water Control,Collection Location
Yale-SP00051,Human,NP,DNA,2024-08,No,USA
Yale-SP00052,Human,NP,DNA,2024-08,No,USA
Yale-SP00053,Human,NP,DNA,2024-08,No,USA
Yale-SP00054,Human,Saliva,DNA,2024-08,No,USA
Yale-SP00055,Human,Saliva,DNA,2024-08,No,USA
Yale-SP00056,Human,Saliva,DNA,2024-08,No,USA
Yale-SP00057,Human,Culture isolate,DNA,2024-08,No,USA
Yale-SP00058,Human,Culture isolate,DNA,2024-08,No,USA
Yale-SP00059,Human,Culture isolate,DNA,2024-08,No,USA
Yale-SP00060,Human,Water,DNA,2024-08,Yes,USA
Yale-CS00030,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00032,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00034,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00036,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00038,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00040,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00153,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00154,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00155,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00156,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00157,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00158,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00159,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00160,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00161,Human,Culture enriched,DNA,2024-08,No,USA
Yale-CS00162,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00163,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00164,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00165,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00166,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00167,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00168,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00169,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00170,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00171,Human,NP,DNA,2024-08,No,USA
Yale-CS00172,Human,NP,DNA,2024-08,No,USA
Yale-CS00173,Human,NP,DNA,2024-08,No,USA
Yale-CS00174,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00175,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00176,Human,Culture isolate,DNA,2024-08,No,USA
Yale-CS00177,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00178,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00179,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00180,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00181,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00182,Human,Saliva,DNA,2024-08,No,USA
Yale-CS00183,Human,NP,DNA,2024-08,No,USA
Yale-CS00184,Human,NP,DNA,2024-08,No,USA
Yale-CS00185,Human,NP,DNA,2024-08,No,USA
Yale-CS00186,Human,DNA,DNA,2024-08,No,USA
Yale-CS00187,Human,DNA,DNA,2024-08,No,USA
Yale-CS00188,Human,DNA,DNA,2024-08,No,USA
Yale-CS00189,Human,DNA,DNA,2024-08,No,USA
Yale-CS00190,Human,DNA,DNA,2024-08,No,USA
Yale-CS00191,Human,Unkown,DNA,2024-08,No,USA
Yale-CS00192,Human,Water,DNA,2024-08,Yes,USA
Yale-CS00193,Human,Water,DNA,2024-08,Yes,USA
Yale-CS00194,Human,Water,DNA,2024-08,Yes,USA
Yale-CS00195,Human,Water,DNA,2024-08,Yes,USA
