sample	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SP00051	0.025	NC_017592.1	1	2036867	3313	42575	2.09022	0.0587304	35.7	36.5
SP00051	0.05	NC_017592.1	1	2036867	6741	61821	3.0351	0.117422	35.7	36.4
SP00051	0.075	NC_017592.1	1	2036867	10322	73040	3.5859	0.177646	35.8	36.5
SP00051	0.125	NC_017592.1	1	2036867	17072	83746	4.11151	0.292459	35.7	36.5
SP00051	0.1	NC_017592.1	1	2036867	13644	79357	3.89603	0.234482	35.8	36.7
SP00051	0.25	NC_017592.1	1	2036867	34270	94291	4.62922	0.590233	35.8	36.4
SP00051	0.5	NC_017592.1	1	2036867	69103	98841	4.8526	1.19239	35.8	36.3
SP00051	1.0	NC_017592.1	1	2036867	137487	101232	4.96999	2.37842	35.8	36.5
SP00052	0.025	NC_017592.1	1	2036867	1506	15147	0.743642	0.0168376	35.6	40.9
SP00052	0.05	NC_017592.1	1	2036867	2921	27648	1.35738	0.0328981	35.5	41.1
SP00052	0.075	NC_017592.1	1	2036867	4458	38618	1.89595	0.0496989	35.5	41
SP00052	0.125	NC_017592.1	1	2036867	7415	56120	2.75521	0.0818777	35.6	41
SP00052	0.1	NC_017592.1	1	2036867	5971	48092	2.36108	0.0656528	35.6	41
SP00052	0.25	NC_017592.1	1	2036867	15157	90314	4.43397	0.16449	35.6	41.1
SP00052	0.5	NC_017592.1	1	2036867	30719	130546	6.40916	0.336336	35.6	41.1
SP00052	1.0	NC_017592.1	1	2036867	60910	170415	8.36653	0.671088	35.6	41.2
SP00053	0.025	NC_017592.1	1	2036867	92	2842	0.139528	0.00196969	35.1	28.4
SP00053	0.05	NC_017592.1	1	2036867	196	4854	0.238307	0.00406556	35.4	32.3
SP00053	0.075	NC_017592.1	1	2036867	287	6232	0.30596	0.00577946	35.3	33.1
SP00053	0.125	NC_017592.1	1	2036867	506	9343	0.458695	0.00988724	35.5	33
SP00053	0.1	NC_017592.1	1	2036867	397	7834	0.38461	0.00773001	35.5	33.5
SP00053	0.25	NC_017592.1	1	2036867	1088	15482	0.760089	0.0209611	35.6	32.9
SP00053	0.5	NC_017592.1	1	2036867	2371	23833	1.17008	0.0458552	35.7	32
SP00053	1.0	NC_017592.1	1	2036867	4649	34933	1.71504	0.0893824	35.7	31.8
SP00054	0.025	NC_017592.1	1	2036867	37144	895393	43.9593	2.02017	34.6	50.8
