sample_name,tax_id,genus_name,taxon_name,aggregatescore,NT_r,NT_rpm,NT_zscore,NR_r,NR_rpm,NR_zscore
Yale-SP00052,2610896,Streptococcus,Streptococcus sp. LPB0220,,104,1.7766,,2,0.0342,
Yale-SP00052,287,Pseudomonas,Pseudomonas aeruginosa,,1023,17.476,,1347,23.0109,
Yale-SP00052,1747,Cutibacterium,Cutibacterium acnes,,40037,683.954,,35386,604.501,
Yale-SP00052,32002,Achromobacter,Achromobacter denitrificans,,7762,132.599,,760,12.9831,
Yale-SP00052,2070761,Roseateles,Paucibacter aquatile,,99,1.6912,,2,0.0342,
Yale-SP00052,712122,Actinomyces,Actinomyces sp. oral taxon 414,,79,1.3496,,46,0.7858,
Yale-SP00052,1660,Schaalia,Schaalia odontolytica,,1076,18.3814,,216,3.6899,
Yale-SP00052,155900,,uncultured organism,,59,1.0079,,12400,211.83,
Yale-SP00052,1979527,Corynebacterium,Corynebacterium kefirresidentii,,784,13.3931,,643,10.9844,
Yale-SP00052,3019553,Roseateles,Paucibacter sp. S2-9,,94,1.6058,,0,0,
Yale-SP00052,1313,Streptococcus,Streptococcus pneumoniae,,90,1.5375,,419,7.1578,
Yale-SP00052,28449,Neisseria,Neisseria subflava,,64,1.0933,,44,0.7517,
Yale-SP00052,43675,Rothia,Rothia mucilaginosa,,4306,73.5596,,1987,33.944,
Yale-SP00052,1343,Streptococcus,Streptococcus vestibularis,,0,0,,4,0.0683,
Yale-SP00052,257758,Streptococcus,Streptococcus pseudopneumoniae,,9,0.1537,,56,0.9567,
Yale-SP00052,39777,Veillonella,Veillonella atypica,,6,0.1025,,2,0.0342,
Yale-SP00052,43990,Corynebacterium,Corynebacterium segmentosum,,2503,42.7589,,100,1.7083,
Yale-SP00052,87883,Burkholderia,Burkholderia multivorans,,2394,40.8968,,1792,30.6128,
Yale-SP00052,391953,Aquincola,Aquincola tertiaricarbonis,,66,1.1275,,5,0.0854,
Yale-SP00052,4565,Triticum,Triticum aestivum,,41676,711.953,,18196,310.843,
Yale-SP00052,46124,Granulicatella,Granulicatella adiacens,,120,2.05,,31,0.5296,
Yale-SP00052,2715960,Bradyrhizobium,Bradyrhizobium sp. PSBB068,,5483,93.6664,,2,0.0342,
Yale-SP00052,729,Haemophilus,Haemophilus parainfluenzae,,160,2.7333,,149,2.5454,
Yale-SP00052,38783,Avena,Avena strigosa,,282254,4821.76,,48,0.82,
Yale-SP00052,76775,Malassezia,Malassezia restricta,,2383,40.7089,,1988,33.9611,
Yale-SP00052,158754,Sphingomonas,uncultured Sphingomonas sp.,,0,0,,137,2.3404,
Yale-SP00052,1156431,Streptococcus,Streptococcus ilei,,14,0.2392,,2,0.0342,
Yale-SP00052,4522,Lolium,Lolium perenne,,20332,347.333,,100611,1718.74,
Yale-SP00052,2382163,Streptococcus,Streptococcus koreensis,,14,0.2392,,1,0.0171,
Yale-SP00052,1305,Streptococcus,Streptococcus sanguinis,,26,0.4442,,10,0.1708,
Yale-SP00052,28132,Prevotella,Prevotella melaninogenica,,44,0.7517,,21,0.3587,
Yale-SP00052,1197460,Bradyrhizobium,Bradyrhizobium sp. 6(2017),,207,3.5362,,27,0.4612,
Yale-SP00052,2789327,Sphingobium,Sphingobium sp. Cam5-1,,0,0,,5,0.0854,
Yale-SP00052,38284,Corynebacterium,Corynebacterium accolens,,6612,112.953,,4094,69.938,
Yale-SP00052,712633,Streptococcus,Streptococcus sp. oral taxon 431,,89,1.5204,,21,0.3587,
Yale-SP00052,1292,Staphylococcus,Staphylococcus warneri,,51,0.8712,,23,0.3929,
Yale-SP00052,28131,Prevotella,Prevotella intermedia,,15,0.2562,,0,0,
Yale-SP00052,1560345,Sphingomonas,Sphingomonas panacis,,9,0.1537,,0,0,
Yale-SP00052,2819619,Streptococcus,Streptococcus toyakuensis,,13,0.2221,,0,0,
Yale-SP00052,712623,Streptococcus,Streptococcus sp. oral taxon 061,,56,0.9567,,0,0,
Yale-SP00052,1177574,Prevotella,Prevotella jejuni,,46,0.7858,,0,0,
Yale-SP00052,2759692,Streptococcus,Streptococcus sp. Marseille-Q3533,,9,0.1537,,0,0,
Yale-SP00052,47878,Pseudomonas,Pseudomonas azotoformans,,12223,208.806,,1860,31.7745,
Yale-SP00052,2997354,Sphingomonas,Sphingomonas sp. So64.6b,,9,0.1537,,0,0,
Yale-SP00052,1282,Staphylococcus,Staphylococcus epidermidis,,530,9.054,,424,7.2432,
Yale-SP00052,37663,Avena,Avena murphyi,,13132,224.335,,0,0,
Yale-SP00052,1759399,Streptococcus,Streptococcus sp. A12,,7,0.1196,,4,0.0683,
Yale-SP00052,2057741,Bradyrhizobium,Bradyrhizobium sp. SK17,,434,7.414,,58,0.9908,
Yale-SP00052,2598453,Streptococcus,Streptococcus sp. 116-D4,,423,7.2261,,6,0.1025,
Yale-SP00052,1304,Streptococcus,Streptococcus salivarius,,92,1.5716,,6581,112.424,
Yale-SP00052,1308,Streptococcus,Streptococcus thermophilus,,6,0.1025,,38,0.6492,
Yale-SP00052,15368,Brachypodium,Brachypodium distachyon,,50393,860.866,,46030,786.333,
Yale-SP00052,470565,Prevotella,Prevotella histicola,,0,0,,3,0.0512,
Yale-SP00052,2682456,Veillonella,Veillonella nakazawae,,48,0.82,,0,0,
Yale-SP00052,1303,Streptococcus,Streptococcus oralis,,118,2.0158,,125,2.1354,
Yale-SP00052,31201,Spisula,Spisula solida,,3,0.0512,,0,0,
Yale-SP00052,113107,Streptococcus,Streptococcus australis,,35,0.5979,,6,0.1025,
Yale-SP00052,273384,Brevibacterium,Brevibacterium aurantiacum,,14,0.2392,,10,0.1708,
Yale-SP00052,1523415,Sphingomonas,Sphingomonas sp. AAP5,,427,7.2945,,120,2.05,
Yale-SP00052,1517551,Sphingomonas,Sphingomonas sp. HMP6,,41,0.7004,,5,0.0854,
Yale-SP00052,38304,Corynebacterium,Corynebacterium tuberculostearicum,,3410,58.2532,,1634,27.9137,
Yale-SP00052,77133,,uncultured bacterium,,680,11.6165,,580,9.9082,
Yale-SP00052,198620,Pseudomonas,Pseudomonas koreensis,,9,0.1537,,5,0.0854,
Yale-SP00052,1325120,Bradyrhizobium,Bradyrhizobium sp. CCBAU 53421,,477,8.1486,,78,1.3325,
Yale-SP00052,4513,Hordeum,Hordeum vulgare,,29628,506.137,,45960,785.137,
Yale-SP00052,28037,Streptococcus,Streptococcus mitis,,171,2.9212,,317,5.4153,
