"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR144577","ERR161044","ERR181435","ERR212146","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1172044","SRR1173640","SRR1180462","SRR671749","SRR998654"
"bioF2","","Putative 8-amino-7-oxononanoate synthase 2","14","14","1","1","232","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","251","2408","1748","ERR144577_00038","ERR161044_00038","ERR181435_00038","ERR212146_00040","ERR234202_00039","H37Rv_00039","NC_019950_00040","SRR1019139_00039","SRR1163294_00038","SRR1172044_00039","SRR1173640_00039","SRR1180462_00038","SRR671749_00038","SRR998654_00039"
"group_1000","","putative membrane protein","14","14","1","1","3874","","","","3158","3248","3177","ERR144577_03655","ERR161044_03672","ERR181435_03665","ERR212146_03664","ERR234202_03659","H37Rv_03664","NC_019950_03642","SRR1019139_03661","SRR1163294_03666","SRR1172044_03656","SRR1173640_03656","SRR1180462_03663","SRR671749_03656","SRR998654_03662"
"group_1001","","hypothetical protein","14","14","1","1","3870","","","","560","662","654","ERR144577_03659","ERR161044_03676","ERR181435_03669","ERR212146_03668","ERR234202_03663","H37Rv_03668","NC_019950_03646","SRR1019139_03665","SRR1163294_03670","SRR1172044_03660","SRR1173640_03660","SRR1180462_03667","SRR671749_03660","SRR998654_03666"
"group_1002","","hypothetical protein","14","14","1","1","3868","","","","881","944","939","ERR144577_03661","ERR161044_03678","ERR181435_03671","ERR212146_03670","ERR234202_03665","H37Rv_03670","NC_019950_03648","SRR1019139_03667","SRR1163294_03672","SRR1172044_03662","SRR1173640_03662","SRR1180462_03669","SRR671749_03662","SRR998654_03668"
"group_1003","","hypothetical protein","14","14","1","1","3840","","","","1301","1337","1334","ERR144577_03688","ERR161044_03705","ERR181435_03699","ERR212146_03697","ERR234202_03692","H37Rv_03697","NC_019950_03676","SRR1019139_03694","SRR1163294_03699","SRR1172044_03689","SRR1173640_03689","SRR1180462_03696","SRR671749_03689","SRR998654_03695"
"group_1004","","hypothetical protein","14","14","1","1","3827","","","","1064","1064","1064","ERR144577_03700","ERR161044_03717","ERR181435_03710","ERR212146_03708","ERR234202_03705","H37Rv_03708","NC_019950_03686","SRR1019139_03705","SRR1163294_03710","SRR1172044_03700","SRR1173640_03701","SRR1180462_03708","SRR671749_03701","SRR998654_03708"
"pknD_2","","Serine/threonine-protein kinase PknD","14","14","1","1","3825","","","","734","926","912","ERR144577_03702","ERR161044_03719","ERR181435_03712","ERR212146_03710","ERR234202_03707","H37Rv_03710","NC_019950_03688","SRR1019139_03707","SRR1163294_03712","SRR1172044_03702","SRR1173640_03703","SRR1180462_03710","SRR671749_03703","SRR998654_03710"
"yrdA","","Protein YrdA","14","14","1","1","3824","","","","524","638","532","ERR144577_03703","ERR161044_03720","ERR181435_03713","ERR212146_03711","ERR234202_03708","H37Rv_03711","NC_019950_03689","SRR1019139_03708","SRR1163294_03713","SRR1172044_03703","SRR1173640_03704","SRR1180462_03711","SRR671749_03704","SRR998654_03711"
"group_1007","","putative PPE family protein PPE40","14","14","1","1","3791","","","","1586","1658","1652","ERR144577_03737","ERR161044_03754","ERR181435_03747","ERR212146_03745","ERR234202_03742","H37Rv_03745","NC_019950_03723","SRR1019139_03742","SRR1163294_03747","SRR1172044_03737","SRR1173640_03738","SRR1180462_03745","SRR671749_03738","SRR998654_03745"
"fadD3_2","","3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase","14","14","1","1","3788","","","","1523","1523","1523","ERR144577_03740","ERR161044_03757","ERR181435_03750","ERR212146_03748","ERR234202_03745","H37Rv_03748","NC_019950_03726","SRR1019139_03745","SRR1163294_03750","SRR1172044_03740","SRR1173640_03741","SRR1180462_03748","SRR671749_03741","SRR998654_03748"
