"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR133985","ERR181435","ERR229952","ERR234202","H37Rv","NC_019950","SRR1019139","SRR1163294","SRR1173445","SRR1173640","SRR1175079","SRR1180462","SRR671749","SRR998654"
"bioF2","","Putative 8-amino-7-oxononanoate synthase 2","14","14","1","1","124","","","","128","2408","1913","ERR133985_00040","ERR181435_00039","ERR229952_00040","ERR234202_00040","H37Rv_00039","NC_019950_00040","SRR1019139_00040","SRR1163294_00039","SRR1173445_00040","SRR1173640_00039","SRR1175079_00038","SRR1180462_00038","SRR671749_00038","SRR998654_00039"
"cpnT","","Outer membrane channel protein CpnT","14","14","1","1","1789","","","","422","2540","2289","ERR133985_04107","ERR181435_04113","ERR229952_04121","ERR234202_04107","H37Rv_04108","NC_019950_04084","SRR1019139_04102","SRR1163294_04107","SRR1173445_04101","SRR1173640_04099","SRR1175079_04099","SRR1180462_04107","SRR671749_04103","SRR998654_04108"
"group_1000","","hypothetical protein","14","14","1","1","2204","","","","1301","1337","1334","ERR133985_03694","ERR181435_03699","ERR229952_03709","ERR234202_03692","H37Rv_03697","NC_019950_03676","SRR1019139_03694","SRR1163294_03699","SRR1173445_03690","SRR1173640_03689","SRR1175079_03689","SRR1180462_03696","SRR671749_03689","SRR998654_03695"
"group_1001","","hypothetical protein","14","14","1","1","2191","","","","1064","1064","1064","ERR133985_03706","ERR181435_03710","ERR229952_03722","ERR234202_03705","H37Rv_03708","NC_019950_03686","SRR1019139_03705","SRR1163294_03710","SRR1173445_03701","SRR1173640_03701","SRR1175079_03701","SRR1180462_03708","SRR671749_03701","SRR998654_03708"
"pknD_2","","Serine/threonine-protein kinase PknD","14","14","1","1","2189","","","","734","926","912","ERR133985_03708","ERR181435_03712","ERR229952_03724","ERR234202_03707","H37Rv_03710","NC_019950_03688","SRR1019139_03707","SRR1163294_03712","SRR1173445_03703","SRR1173640_03703","SRR1175079_03703","SRR1180462_03710","SRR671749_03703","SRR998654_03710"
"yrdA","","Protein YrdA","14","14","1","1","2188","","","","524","638","532","ERR133985_03709","ERR181435_03713","ERR229952_03725","ERR234202_03708","H37Rv_03711","NC_019950_03689","SRR1019139_03708","SRR1163294_03713","SRR1173445_03704","SRR1173640_03704","SRR1175079_03704","SRR1180462_03711","SRR671749_03704","SRR998654_03711"
"fadD3_2","","3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase","14","14","1","1","2152","","","","1523","1523","1523","ERR133985_03746","ERR181435_03750","ERR229952_03762","ERR234202_03745","H37Rv_03748","NC_019950_03726","SRR1019139_03745","SRR1163294_03750","SRR1173445_03741","SRR1173640_03741","SRR1175079_03741","SRR1180462_03748","SRR671749_03741","SRR998654_03748"
"group_1005","","hypothetical protein","14","14","1","1","2137","","","","686","713","711","ERR133985_03761","ERR181435_03765","ERR229952_03777","ERR234202_03760","H37Rv_03763","NC_019950_03742","SRR1019139_03760","SRR1163294_03765","SRR1173445_03756","SRR1173640_03756","SRR1175079_03756","SRR1180462_03763","SRR671749_03756","SRR998654_03763"
"group_1006","","hypothetical protein","14","14","1","1","2136","","","","866","920","916","ERR133985_03762","ERR181435_03767","ERR229952_03778","ERR234202_03762","H37Rv_03764","NC_019950_03743","SRR1019139_03761","SRR1163294_03767","SRR1173445_03757","SRR1173640_03757","SRR1175079_03757","SRR1180462_03765","SRR671749_03757","SRR998654_03765"
"mutY","","Adenine DNA glycosylase","14","14","1","1","2124","","","","887","887","887","ERR133985_03774","ERR181435_03779","ERR229952_03790","ERR234202_03774","H37Rv_03776","NC_019950_03755","SRR1019139_03773","SRR1163294_03779","SRR1173445_03769","SRR1173640_03769","SRR1175079_03769","SRR1180462_03777","SRR671749_03769","SRR998654_03777"
"bpoC_3","","Putative non-heme bromoperoxidase BpoC","14","14","1","1","2122","","","","764","764","764","ERR133985_03776","ERR181435_03781","ERR229952_03792","ERR234202_03776","H37Rv_03778","NC_019950_03756","SRR1019139_03775","SRR1163294_03781","SRR1173445_03771","SRR1173640_03771","SRR1175079_03771","SRR1180462_03779","SRR671749_03771","SRR998654_03779"
"group_1009","","hypothetical protein","14","14","1","1","2119","","","","698","827","817","ERR133985_03779","ERR181435_03784","ERR229952_03795","ERR234202_03779","H37Rv_03781","NC_019950_03759","SRR1019139_03778","SRR1163294_03784","SRR1173445_03774","SRR1173640_03774","SRR1175079_03774","SRR1180462_03782","SRR671749_03774","SRR998654_03782"
"group_1010","","hypothetical protein","14","14","1","1","2111","","","","911","911","911","ERR133985_03787","ERR181435_03792","ERR229952_03803","ERR234202_03787","H37Rv_03789","NC_019950_03767","SRR1019139_03786","SRR1163294_03792","SRR1173445_03782","SRR1173640_03782","SRR1175079_03782","SRR1180462_03790","SRR671749_03782","SRR998654_03790"
"espA","","ESX-1 secretion-associated protein EspA","14","14","1","1","2100","","","","932","1178","1160","ERR133985_03798","ERR181435_03803","ERR229952_03814","ERR234202_03798","H37Rv_03800","NC_019950_03778","SRR1019139_03797","SRR1163294_03803","SRR1173445_03793","SRR1173640_03793","SRR1175079_03793","SRR1180462_03801","SRR671749_03793","SRR998654_03801"
"group_1012","","hypothetical protein","14","14","1","1","2092","","","","722","836","827","ERR133985_03805","ERR181435_03810","ERR229952_03821","ERR234202_03805","H37Rv_03807","NC_019950_03785","SRR1019139_03804","SRR1163294_03810","SRR1173445_03800","SRR1173640_03800","SRR1175079_03800","SRR1180462_03808","SRR671749_03800","SRR998654_03808"
"hpt","","Hypoxanthine-guanine phosphoribosyltransferase","14","14","1","1","2091","","","","608","650","614","ERR133985_03806","ERR181435_03811","ERR229952_03822","ERR234202_03806","H37Rv_03808","NC_019950_03786","SRR1019139_03805","SRR1163294_03811","SRR1173445_03801","SRR1173640_03801","SRR1175079_03801","SRR1180462_03809","SRR671749_03801","SRR998654_03809"
"fic","","putative protein adenylyltransferase Fic","14","14","1","1","2074","","","","572","635","630","ERR133985_03822","ERR181435_03827","ERR229952_03838","ERR234202_03822","H37Rv_03824","NC_019950_03800","SRR1019139_03822","SRR1163294_03827","SRR1173445_03817","SRR1173640_03817","SRR1175079_03817","SRR1180462_03825","SRR671749_03817","SRR998654_03825"
"group_1015","","putative PE-PGRS family protein PE_PGRS24","14","14","1","1","2065","","","","284","284","284","ERR133985_03832","ERR181435_03837","ERR229952_03848","ERR234202_03832","H37Rv_03834","NC_019950_03810","SRR1019139_03832","SRR1163294_03837","SRR1173445_03827","SRR1173640_03827","SRR1175079_03827","SRR1180462_03835","SRR671749_03827","SRR998654_03835"
"group_1016","","hypothetical protein","14","14","1","1","2040","","","","254","263","254","ERR133985_03856","ERR181435_03861","ERR229952_03872","ERR234202_03856","H37Rv_03858","NC_019950_03835","SRR1019139_03856","SRR1163294_03861","SRR1173445_03853","SRR1173640_03851","SRR1175079_03851","SRR1180462_03859","SRR671749_03851","SRR998654_03859"
"whiB4","","Transcriptional regulator WhiB4","14","14","1","1","2033","","","","221","302","296","ERR133985_03863","ERR181435_03868","ERR229952_03879","ERR234202_03863","H37Rv_03865","NC_019950_03842","SRR1019139_03863","SRR1163294_03868","SRR1173445_03860","SRR1173640_03858","SRR1175079_03858","SRR1180462_03866","SRR671749_03858","SRR998654_03866"
"rsfB","","Anti-sigma-F factor antagonist RsfB","14","14","1","1","2027","","","","245","368","359","ERR133985_03870","ERR181435_03875","ERR229952_03886","ERR234202_03870","H37Rv_03872","NC_019950_03849","SRR1019139_03870","SRR1163294_03875","SRR1173445_03867","SRR1173640_03865","SRR1175079_03865","SRR1180462_03873","SRR671749_03865","SRR998654_03873"
"group_1019","","putative membrane protein","14","14","1","1","2023","","","","1001","1130","1010","ERR133985_03874","ERR181435_03879","ERR229952_03890","ERR234202_03874","H37Rv_03876","NC_019950_03853","SRR1019139_03874","SRR1163294_03879","SRR1173445_03871","SRR1173640_03869","SRR1175079_03869","SRR1180462_03877","SRR671749_03869","SRR998654_03877"
"glpK","","Glycerol kinase","14","14","1","1","2018","","","","980","1553","1512","ERR133985_03879","ERR181435_03884","ERR229952_03895","ERR234202_03879","H37Rv_03881","NC_019950_03858","SRR1019139_03879","SRR1163294_03884","SRR1173445_03876","SRR1173640_03874","SRR1175079_03874","SRR1180462_03882","SRR671749_03874","SRR998654_03882"
