Sequence,Start,End,Primer
GPSC15,105,127,fwd
GPSC15,2456,4223,fwd
GPSC15,4223,5880,fwd
GPSC15,5880,7708,fwd
GPSC15,7708,9531,fwd
GPSC15,9531,11322,fwd
GPSC15,11322,13075,fwd
GPSC15,13075,14781,fwd
GPSC15,14781,16160,fwd
GPSC15,16160,17906,fwd
GPSC15,17906,19417,fwd
GPSC15,22636,23951,fwd
GPSC15,23951,25632,fwd
GPSC15,25632,26809,fwd
GPSC15,26809,27740,fwd
GPSC15,30259,32099,fwd
GPSC15,32099,33893,fwd
GPSC15,33893,35769,fwd
GPSC15,35769,37559,fwd
GPSC15,37559,39424,fwd
GPSC15,39424,41105,fwd
GPSC15,41105,42956,fwd
GPSC15,42956,44970,fwd
GPSC15,44970,46754,fwd
GPSC15,46754,48407,fwd
GPSC15,48407,50392,fwd
GPSC15,50392,50790,fwd
GPSC15,50790,52681,fwd
GPSC15,52681,54663,fwd
GPSC15,54663,56383,fwd
GPSC15,56383,58237,fwd
GPSC15,58237,60097,fwd
GPSC15,60097,61838,fwd
GPSC15,65341,67169,fwd
GPSC15,67169,68973,fwd
GPSC15,68973,70787,fwd
GPSC15,70787,72545,fwd
GPSC15,72545,74335,fwd
GPSC15,74335,76102,fwd
GPSC15,76102,77912,fwd
GPSC15,77912,79696,fwd
GPSC15,79696,81541,fwd
GPSC15,81541,83397,fwd
GPSC15,83397,85195,fwd
GPSC15,85195,86902,fwd
GPSC15,86902,88747,fwd
GPSC15,88747,90443,fwd
GPSC15,93994,95777,fwd
GPSC15,95777,97615,fwd
GPSC15,101253,103042,fwd
GPSC15,103042,104922,fwd
GPSC15,104922,106704,fwd
GPSC15,106704,108527,fwd
GPSC15,108527,109371,fwd
GPSC15,109371,111153,fwd
GPSC15,114789,116562,fwd
GPSC15,120091,121912,fwd
GPSC15,121912,123773,fwd
GPSC15,123773,125600,fwd
GPSC15,125600,127229,fwd
GPSC15,127229,129049,fwd
GPSC15,132897,134678,fwd
GPSC15,139264,140723,fwd
GPSC15,140723,142566,fwd
GPSC15,142566,144334,fwd
GPSC15,147053,147078,fwd
GPSC15,149461,150746,fwd
GPSC15,150746,152458,fwd
GPSC15,156156,156177,fwd
GPSC15,162099,163731,fwd
GPSC15,163731,165394,fwd
GPSC15,165394,167394,fwd
GPSC15,167394,167411,fwd
GPSC15,172760,172782,fwd
GPSC15,179791,181585,fwd
GPSC15,181585,183420,fwd
GPSC15,183420,185267,fwd
GPSC15,185267,187064,fwd
GPSC15,187064,188908,fwd
GPSC15,188908,190700,fwd
GPSC15,190700,192483,fwd
GPSC15,192483,194278,fwd
GPSC15,194278,196011,fwd
GPSC15,196011,197839,fwd
GPSC15,197839,199573,fwd
