"Seq_ID	subsample	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq"
"SP00051	0.025	NC_017592.1	1	2036856	334	18739	0.919996	0.015603	35.9	22"
"SP00051	0.05	NC_017592.1	1	2036856	650	25649	1.25924	0.0306924	35.9	22"
"SP00051	0.075	NC_017592.1	1	2036856	972	29602	1.45332	0.0454411	35.9	21.2"
"SP00051	0.125	NC_017592.1	1	2036856	1588	32951	1.61774	0.0736557	35.9	21.3"
"SP00051	0.1	NC_017592.1	1	2036856	1261	31510	1.54699	0.0590415	35.9	21.7"
"SP00051	0.25	NC_017592.1	1	2036856	3263	36974	1.81525	0.151121	35.9	20.8"
"SP00051	0.5	NC_017592.1	1	2036856	6527	38706	1.90028	0.303586	35.9	20.4"
"SP00051	1.0	NC_017592.1	1	2036856	12941	39385	1.93362	0.606196	35.9	20.7"
"SP00052	0.025	NC_017592.1	1	2036856	25	2643	0.129759	0.00137172	34.9	34.7"
"SP00052	0.05	NC_017592.1	1	2036856	54	5160	0.253332	0.00307238	35.4	33.1"
"SP00052	0.075	NC_017592.1	1	2036856	75	6770	0.332375	0.0043032	35.4	35.5"
"SP00052	0.125	NC_017592.1	1	2036856	113	8758	0.429976	0.0064904	35.6	33.7"
"SP00052	0.1	NC_017592.1	1	2036856	90	7869	0.386331	0.00511327	35.4	33.4"
"SP00052	0.25	NC_017592.1	1	2036856	196	13048	0.640595	0.0111559	35.6	31.7"
"SP00052	0.5	NC_017592.1	1	2036856	422	18838	0.924857	0.0241284	35.6	31.6"
"SP00052	1.0	NC_017592.1	1	2036856	880	24280	1.19203	0.0503678	35.5	32.7"
"SP00053	0.025	NC_017592.1	1	2036856	17	1266	0.0621546	0.00066966	35	8.35"
"SP00053	0.05	NC_017592.1	1	2036856	35	2274	0.111643	0.00133932	35.2	15.1"
"SP00053	0.075	NC_017592.1	1	2036856	47	2877	0.141247	0.00179689	35.2	15.1"
"SP00053	0.125	NC_017592.1	1	2036856	78	4503	0.221076	0.00304292	35.5	12.8"
"SP00053	0.1	NC_017592.1	1	2036856	62	3888	0.190882	0.00240518	35.5	13.3"
"SP00053	0.25	NC_017592.1	1	2036856	170	7427	0.364631	0.00672802	35.6	12.5"
"SP00053	0.5	NC_017592.1	1	2036856	362	9441	0.463508	0.0147001	35.8	9.25"
"SP00053	1.0	NC_017592.1	1	2036856	707	10694	0.525025	0.0281336	35.9	8.82"
"SP00054	0.025	NC_017592.1	1	2036856	14084	641937	31.5161	0.854839	34	46.3"
"SP00054	0.05	NC_017592.1	1	2036856	28016	814112	39.9691	1.69987	34	46.4"
"SP00054	0.075	NC_017592.1	1	2036856	42114	920264	45.1806	2.55527	34	46.4"
"SP00054	0.125	NC_017592.1	1	2036856	70002	1054979	51.7945	4.24506	34	46.4"
"SP00054	0.1	NC_017592.1	1	2036856	56099	997274	48.9614	3.40278	34	46.3"
"SP00054	0.25	NC_017592.1	1	2036856	140572	1236765	60.7193	8.52208	34	46.3"
"SP00054	0.5	NC_017592.1	1	2036856	281209	1385711	68.0319	17.0647	34	46.4"
"SP00054	1.0	NC_017592.1	1	2036856	562402	1480479	72.6845	34.146	34	46.4"
"SP00055	0.025	NC_017592.1	1	2036856	24021	908132	44.585	1.48105	34.9	44.4"
"SP00055	0.05	NC_017592.1	1	2036856	48041	1135476	55.7465	2.96156	34.9	44.4"
"SP00055	0.075	NC_017592.1	1	2036856	72264	1254598	61.5948	4.45169	34.9	44.4"
"SP00055	0.125	NC_017592.1	1	2036856	120669	1375616	67.5362	7.43187	34.9	44.4"
"SP00055	0.1	NC_017592.1	1	2036856	96343	1328157	65.2062	5.93364	34.9	44.4"
"SP00055	0.25	NC_017592.1	1	2036856	241288	1486219	72.9663	14.8523	34.9	44.5"
"SP00055	0.5	NC_017592.1	1	2036856	483184	1555037	76.345	29.7255	34.9	44.4"
"SP00055	1.0	NC_017592.1	1	2036856	964898	1598117	78.46	59.369	34.9	44.5"
"SP00056	0.025	NC_017592.1	1	2036856	6644	448054	21.9973	0.393971	35.2	39"
"SP00056	0.05	NC_017592.1	1	2036856	13290	679766	33.3733	0.791594	35.2	38.9"
"SP00056	0.075	NC_017592.1	1	2036856	20066	829445	40.7218	1.19642	35.2	39"
"SP00056	0.125	NC_017592.1	1	2036856	33521	1012826	49.725	1.99463	35.2	38.9"
"SP00056	0.1	NC_017592.1	1	2036856	26832	934443	45.8767	1.59684	35.2	38.9"
"SP00056	0.25	NC_017592.1	1	2036856	67022	1218014	59.7987	3.98891	35.2	38.9"
"SP00056	0.5	NC_017592.1	1	2036856	133980	1365307	67.0301	7.96688	35.2	38.9"
"SP00056	1.0	NC_017592.1	1	2036856	268232	1456446	71.5046	15.9357	35.2	38.8"
"SP00057	0.025	NC_017592.1	1	2036856	583090	1926944	94.6038	41.2535	35.5	57.2"
"SP00057	0.05	NC_017592.1	1	2036856	1167380	1933741	94.9375	82.6094	35.5	57.2"
"SP00057	0.075	NC_017592.1	1	2036856	1751651	1935175	95.0079	123.96	35.5	57.2"
"SP00057	0.125	NC_017592.1	1	2036856	2919298	1935847	95.0409	206.582	35.5	57.2"
"SP00057	0.1	NC_017592.1	1	2036856	2336206	1935552	95.0265	165.323	35.5	57.2"
"SP00057	0.25	NC_017592.1	1	2036856	5832731	1936484	95.0722	412.763	35.5	57.2"
"SP00057	0.5	NC_017592.1	1	2036856	11662958	1936814	95.0884	825.385	35.5	57.2"
"SP00057	1.0	NC_017592.1	1	2036856	23319271	1937297	95.1121	1650.22	35.5	57.2"
"SP00058	0.025	NC_017592.1	1	2036856	598280	1925401	94.5281	42.8067	35.2	57.1"
"SP00058	0.05	NC_017592.1	1	2036856	1195944	1933306	94.9162	85.5506	35.2	57.1"
"SP00058	0.075	NC_017592.1	1	2036856	1795589	1934696	94.9844	128.446	35.2	57.1"
"SP00058	0.125	NC_017592.1	1	2036856	2993878	1935864	95.0418	214.162	35.2	57.1"
"SP00058	0.1	NC_017592.1	1	2036856	2394097	1935495	95.0237	171.261	35.2	57.1"
"SP00058	0.25	NC_017592.1	1	2036856	5987535	1936512	95.0736	428.293	35.2	57.1"
"SP00058	0.5	NC_017592.1	1	2036856	11973233	1936885	95.0919	856.47	35.2	57.1"
"SP00058	1.0	NC_017592.1	1	2036856	23953002	1937238	95.1092	1713.36	35.2	57.1"
"SP00059	0.025	NC_017592.1	1	2036856	1188207	1931326	94.819	82.6816	35.4	55.5"
"SP00059	0.05	NC_017592.1	1	2036856	2375470	1940791	95.2837	165.307	35.4	55.5"
"SP00059	0.075	NC_017592.1	1	2036856	3562647	1944922	95.4865	247.92	35.4	55.5"
"SP00059	0.125	NC_017592.1	1	2036856	5937637	1947952	95.6352	413.171	35.4	55.5"
"SP00059	0.1	NC_017592.1	1	2036856	4750317	1946768	95.5771	330.56	35.4	55.5"
"SP00059	0.25	NC_017592.1	1	2036856	11872229	1949287	95.7008	826.146	35.4	55.5"
"SP00059	0.5	NC_017592.1	1	2036856	23751168	1950483	95.7595	1652.84	35.4	55.5"
"SP00059	1.0	NC_017592.1	1	2036856	47499219	1950948	95.7823	3305.51	35.4	55.5"
"SP00060	0.025	NC_017592.1	1	2036856	3	261	0.0128139	0.000128139	36.7	60"
"SP00060	0.05	NC_017592.1	1	2036856	4	401	0.0196872	0.000196872	36.8	60"
"SP00060	0.075	NC_017592.1	1	2036856	5	402	0.0197363	0.000231239	35.6	60"
"SP00060	0.125	NC_017592.1	1	2036856	10	579	0.0284262	0.000447749	35.9	58.7"
"SP00060	0.1	NC_017592.1	1	2036856	9	537	0.0263642	0.000427129	35.8	58.6"
"SP00060	0.25	NC_017592.1	1	2036856	26	1520	0.0746248	0.00121462	36.2	55.3"
"SP00060	0.5	NC_017592.1	1	2036856	61	2180	0.107028	0.00294424	35.9	56.2"
"SP00060	1.0	NC_017592.1	1	2036856	142	3296	0.161818	0.00711292	36	54.7"
