Sequence,Start,End,Primer Type
SRR1175079,15,1847,1
SRR1175079,1847,3710,1
SRR1175079,3710,5464,1
SRR1175079,5464,7321,1
SRR1175079,7321,9108,1
SRR1175079,9108,10898,1
SRR1175079,10898,12716,1
SRR1175079,12716,14467,1
SRR1175079,14467,16307,1
SRR1175079,16307,18144,1
SRR1175079,18144,19999,1
SRR1175079,19999,21780,1
SRR1175079,21780,23540,1
SRR1175079,23540,25367,1
SRR1175079,25367,27160,1
SRR1175079,27160,28969,1
SRR1175079,28969,30879,1
SRR1175079,30879,32563,1
SRR1175079,32563,34354,1
SRR1175079,34354,36207,1
SRR1175079,36207,38063,1
SRR1175079,38063,39866,1
SRR1175079,39866,41677,1
SRR1175079,41677,43506,1
SRR1175079,43506,45241,1
SRR1175079,45241,47084,1
SRR1175079,47084,48894,1
SRR1175079,48894,50656,1
SRR1175079,50656,52444,1
SRR1175079,52444,54140,1
SRR1175079,54140,56055,1
SRR1175079,56055,57828,1
SRR1175079,57828,59567,1
SRR1175079,59567,61475,1
SRR1175079,61475,63319,1
SRR1175079,63319,65111,1
SRR1175079,65111,66842,1
SRR1175079,66842,68731,1
SRR1175079,68731,70460,1
SRR1175079,70460,72315,1
SRR1175079,72315,74071,1
SRR1175079,74071,75807,1
SRR1175079,75807,77640,1
SRR1175079,77640,79410,1
SRR1175079,79410,81214,1
SRR1175079,81214,83018,1
SRR1175079,83018,84848,1
SRR1175079,84848,86563,1
SRR1175079,86563,88297,1
SRR1175079,88297,90180,1
SRR1175079,90180,91862,1
SRR1175079,91862,93730,1
SRR1175079,93730,95561,1
SRR1175079,95561,97362,1
SRR1175079,100927,101679,1
SRR1175079,101679,103409,1
SRR1175079,103409,105233,1
SRR1175079,105233,107020,1
SRR1175079,107020,108847,1
SRR1175079,108847,110721,1
SRR1175079,110721,112512,1
SRR1175079,112512,114323,1
SRR1175079,114323,116109,1
SRR1175079,116109,117815,1
SRR1175079,117815,119673,1
SRR1175079,119673,121494,1
SRR1175079,121494,123249,1
SRR1175079,123249,125016,1
SRR1175079,125016,126844,1
SRR1175079,126844,128633,1
SRR1175079,128633,129475,1
SRR1175079,129475,131174,1
SRR1175079,131174,133033,1
SRR1175079,133033,134800,1
SRR1175079,134800,136605,1
SRR1175079,136605,138423,1
SRR1175079,138423,140287,1
SRR1175079,140287,142076,1
SRR1175079,142076,143882,1
SRR1175079,143882,145709,1
SRR1175079,145709,147525,1
SRR1175079,147525,149272,1
SRR1175079,149272,151072,1
SRR1175079,151072,152873,1
SRR1175079,152873,154662,1
SRR1175079,154662,156539,1
SRR1175079,156539,158333,1
SRR1175079,158333,160113,1
SRR1175079,160113,161853,1
SRR1175079,165438,167361,1
SRR1175079,167361,169128,1
SRR1175079,169128,170923,1
SRR1175079,170923,172796,1
SRR1175079,172796,174655,1
SRR1175079,174655,175636,1
SRR1175079,180961,182720,1
SRR1175079,182720,184464,1
SRR1175079,184464,185486,1
SRR1175079,185486,186983,1
SRR1175079,186983,188859,1
SRR1175079,188859,190616,1
SRR1175079,190616,192380,1
SRR1175079,192380,194188,1
SRR1175079,194188,196019,1
SRR1175079,196019,197736,1
SRR1175079,197736,199508,1
SRR1175079,199508,201362,1
SRR1175079,201362,203221,1
SRR1175079,203221,204971,1
SRR1175079,204971,206798,1
SRR1175079,206798,208585,1
SRR1175079,208585,210424,1
SRR1175079,210424,212204,1
SRR1175079,212204,214058,1
SRR1175079,214058,215879,1
SRR1175079,215879,217564,1
SRR1175079,217564,219433,1
SRR1175079,219433,221210,1
SRR1175079,221210,223062,1
SRR1175079,223062,224881,1
SRR1175079,224881,226647,1
SRR1175079,226647,228422,1
SRR1175079,228422,230310,1
SRR1175079,230310,232051,1
SRR1175079,232051,233850,1
SRR1175079,233850,235592,1
SRR1175079,235592,237335,1
SRR1175079,237335,239140,1
SRR1175079,239140,240951,1
SRR1175079,240951,242808,1
SRR1175079,242808,244641,1
SRR1175079,244641,246504,1
SRR1175079,246504,248256,1
SRR1175079,248256,250073,1
SRR1175079,250073,251776,1
SRR1175079,251776,253591,1
SRR1175079,253591,255388,1
SRR1175079,255388,257158,1
SRR1175079,257158,258997,1
SRR1175079,258997,260726,1
SRR1175079,260726,262471,1
SRR1175079,262471,264332,1
SRR1175079,264332,266202,1
SRR1175079,266202,267941,1
SRR1175079,267941,269854,1
SRR1175079,269854,271572,1
SRR1175079,271572,273424,1
SRR1175079,273424,275209,1
SRR1175079,275209,276920,1
SRR1175079,276920,278739,1
SRR1175079,278739,280518,1
SRR1175079,280518,282291,1
SRR1175079,282291,284148,1
SRR1175079,284148,285910,1
SRR1175079,285910,287700,1
SRR1175079,287700,289479,1
SRR1175079,289479,291174,1
SRR1175079,291174,292989,1
SRR1175079,292989,294796,1
SRR1175079,294796,296629,1
SRR1175079,296629,298499,1
SRR1175079,298499,300282,1
SRR1175079,300282,302068,1
SRR1175079,302068,303800,1
SRR1175079,303800,305698,1
SRR1175079,305698,305952,1
SRR1175079,305952,307739,1
SRR1175079,307739,309616,1
SRR1175079,309616,311337,1
SRR1175079,311337,313154,1
SRR1175079,313154,314947,1
SRR1175079,314947,316826,1
SRR1175079,316826,318648,1
SRR1175079,318648,320411,1
SRR1175079,320411,322122,1
SRR1175079,322122,323897,1
SRR1175079,323897,325773,1
SRR1175079,325773,327510,1
SRR1175079,327510,329319,1
SRR1175079,329319,331062,1
SRR1175079,331062,331506,1
SRR1175079,339095,339372,1
SRR1175079,339372,341208,1
SRR1175079,341208,343032,1
SRR1175079,343032,344859,1
SRR1175079,344859,346585,1
SRR1175079,346585,347673,1
SRR1175079,347673,349483,1
SRR1175079,349483,351505,1
SRR1175079,351505,353233,1
SRR1175079,353233,355134,1
SRR1175079,355134,356847,1
SRR1175079,356847,358669,1
SRR1175079,358669,359388,1
SRR1175079,359388,361142,1
SRR1175079,361142,363142,1
SRR1175079,363142,364226,1
SRR1175079,375732,377502,1
SRR1175079,377502,379336,1
SRR1175079,379336,381099,1
SRR1175079,381099,382822,1
SRR1175079,382822,384685,1
SRR1175079,384685,386557,1
SRR1175079,386557,388292,1
SRR1175079,388292,390092,1
SRR1175079,390092,391881,1
SRR1175079,391881,393622,1
SRR1175079,393622,395450,1
SRR1175079,395450,397266,1
SRR1175079,397266,399024,1
SRR1175079,399024,400801,1
SRR1175079,400801,402635,1
SRR1175079,402635,404430,1
SRR1175079,404430,406296,1
SRR1175079,406296,408016,1
SRR1175079,408016,409870,1
SRR1175079,409870,411584,1
SRR1175079,411584,413480,1
SRR1175079,413480,415212,1
SRR1175079,415212,417004,1
SRR1175079,417004,418817,1
SRR1175079,418817,420621,1
SRR1175079,420621,422353,1
SRR1175079,422353,422859,1
SRR1175079,434695,436429,1
SRR1175079,436429,438241,1
SRR1175079,438241,440076,1
SRR1175079,440076,441832,1
SRR1175079,441832,443584,1
SRR1175079,443584,445284,1
SRR1175079,445284,447215,1
SRR1175079,447215,449020,1
SRR1175079,449020,450708,1
SRR1175079,450708,452548,1
SRR1175079,452548,454418,1
SRR1175079,454418,456247,1
SRR1175079,456247,458032,1
SRR1175079,458032,459746,1
SRR1175079,459746,461536,1
SRR1175079,461536,463363,1
SRR1175079,463363,465105,1
SRR1175079,465105,466733,1
SRR1175079,466733,468661,1
SRR1175079,468661,470416,1
SRR1175079,470416,472246,1
SRR1175079,472246,473833,1
SRR1175079,473833,475655,1
SRR1175079,475655,477443,1
SRR1175079,477443,479147,1
