#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
results/SP/shovill/CS00030/contigs.fa,contig00005,11699,12569,-,hasC,7-877/915,========/======,2/2,95.08,76.83,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
results/SP/shovill/CS00030/contigs.fa,contig00059,57,1841,+,nanB,310-2094/2094,..=============,0/0,85.24,99.44,vfdb,NP_346126,(nanB) neuraminidase B [Neuraminidase (VF0148)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00069,180,3383,-,hysA,1-3201/3201,========/======,1/3,100.00,99.09,vfdb,NP_344851,(hysA) hyaluronate lyase [Hyaluronate lyase (VF0146)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00082,4098,5780,+,pavA,1-1683/1683,===============,0/0,100.00,99.53,vfdb,NP_358462,(pavA) Fibronectin-binding protein-like protein A [PavA (VF0283)] [Streptococcus pneumoniae R6],
results/SP/shovill/CS00030/contigs.fa,contig00083,1591,3486,+,pce,1-1884/1884,========/======,6/20,99.79,94.00,vfdb,NP_345414,(pce) choline binding protein E [CBPs (VF0145)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00086,5127,6056,+,psaA,1-930/930,===============,0/0,100.00,99.68,vfdb,NP_346089,(psaA) manganese ABC transporter manganese-binding adhesion liprotein [PsaA (VF0151)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00165,1766,3181,+,ply,1-1416/1416,===============,0/0,100.00,99.65,vfdb,NP_346351,(ply) pneumolysin [Pneumolysin (VF0149)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00210,411,1141,+,cps4B,1-732/732,========/======,3/3,99.73,78.85,vfdb,NP_344880,(cps4B) capsular polysaccharide biosynthesis protein Cps4B [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00030/contigs.fa,contig00210,1150,1842,+,cps4C,1-693/693,========/======,2/2,99.86,88.76,vfdb,NP_344881,(cps4C) capsular polysaccharide biosynthesis protein Cps4C [Capsule (VF0144)] [Streptococcus pneumoniae TIGR4],
results/SP/shovill/CS00032/contigs.fa,contig00016,9427,10297,+,hasC,7-877/915,========/======,2/4,94.97,77.78,vfdb,NP_270109,(hasC) UDP-glucose pyrophosphorylase [Hyaluronic acid capsule (VF0244)] [Streptococcus pyogenes M1 GAS],
