Sequence,Start,End
GPSC15,105,886
GPSC15,886,2659
GPSC15,2659,4479
GPSC15,4479,6132
GPSC15,6132,7921
GPSC15,7921,9743
GPSC15,9743,11503
GPSC15,11503,13258
GPSC15,13258,15013
GPSC15,15013,16814
GPSC15,16814,18118
GPSC15,18118,19882
GPSC15,22636,24636
GPSC15,24636,25862
GPSC15,25862,27740
GPSC15,27740,28856
GPSC15,28856,30282
GPSC15,30282,32241
GPSC15,32241,34086
GPSC15,34086,35924
GPSC15,35924,37764
GPSC15,37764,39606
GPSC15,39606,41320
GPSC15,41320,43102
GPSC15,43102,44988
GPSC15,44988,46754
GPSC15,46754,48407
GPSC15,48407,50392
GPSC15,50392,51115
GPSC15,51115,52972
GPSC15,52972,54801
GPSC15,54801,56586
GPSC15,56586,58388
GPSC15,58388,60240
GPSC15,60240,62045
GPSC15,62045,63761
GPSC15,63761,65589
GPSC15,65589,67395
GPSC15,67395,69308
GPSC15,69308,70970
GPSC15,70970,72732
GPSC15,72732,74496
GPSC15,74496,76280
GPSC15,76280,78081
GPSC15,78081,79924
GPSC15,79924,81727
GPSC15,81727,83397
GPSC15,83397,85364
GPSC15,85364,87128
GPSC15,87128,88901
GPSC15,88901,90664
GPSC15,90664,92367
GPSC15,92367,94168
GPSC15,94168,95936
GPSC15,95936,97777
GPSC15,97777,99598
GPSC15,99598,101445
GPSC15,101445,103042
GPSC15,103042,104922
GPSC15,104922,106910
GPSC15,106910,108735
GPSC15,108735,109577
GPSC15,109577,111352
GPSC15,111352,113132
GPSC15,113132,114959
GPSC15,114959,116768
GPSC15,116768,118587
GPSC15,118587,120114
GPSC15,120114,122114
GPSC15,122114,123927
GPSC15,123927,125740
GPSC15,125740,127450
GPSC15,127450,129235
GPSC15,129235,131235
GPSC15,131235,133056
GPSC15,133056,134818
GPSC15,138614,139478
GPSC15,139478,140930
GPSC15,140930,142702
GPSC15,142702,144507
GPSC15,144507,145488
GPSC15,145488,147078
GPSC15,147078,147621
GPSC15,147621,149481
GPSC15,149481,150880
GPSC15,150880,152676
GPSC15,152676,154500
GPSC15,154500,156315
GPSC15,162099,164046
GPSC15,164046,165647
GPSC15,165647,167633
GPSC15,171209,172981
GPSC15,179791,181791
GPSC15,181791,183614
GPSC15,183614,185441
GPSC15,185441,187247
GPSC15,187247,188908
GPSC15,188908,190891
GPSC15,190891,192715
GPSC15,192715,194486
GPSC15,194486,196249
GPSC15,196249,197994
GPSC15,197994,199990
GPSC15,199990,201559
GPSC15,201559,203347
GPSC15,203347,205149
GPSC15,205149,206969
GPSC15,206969,208819
GPSC15,208819,210653
GPSC15,210653,212279
GPSC15,212279,214137
GPSC15,214137,215906
GPSC15,215906,217698
GPSC15,217698,219530
GPSC15,219530,221326
GPSC15,221326,223136
GPSC15,223136,224894
GPSC15,224894,226717
GPSC15,226717,228499
GPSC15,228499,230284
GPSC15,230284,232113
GPSC15,232113,233871
GPSC15,233871,235713
GPSC15,235713,237524
GPSC15,237524,239327
GPSC15,239327,241133
GPSC15,241133,242814
GPSC15,242814,244476
GPSC15,244476,246428
GPSC15,246428,247930
GPSC15,247930,249758
GPSC15,249758,251558
GPSC15,251558,253366
GPSC15,253366,255136
GPSC15,255136,257136
GPSC15,257136,258428
GPSC15,258428,260193
GPSC15,260193,261955
GPSC15,261955,263708
GPSC15,263708,265534
GPSC15,265534,267307
GPSC15,267307,269277
GPSC15,269277,271088
GPSC15,271088,272835
GPSC15,272835,274601
GPSC15,274601,276433
GPSC15,276433,278203
GPSC15,278203,279992
GPSC15,279992,281805
GPSC15,281805,283477
GPSC15,283477,285367
GPSC15,285367,287347
GPSC15,287347,289056
GPSC15,289056,290853
GPSC15,290853,292638
GPSC15,295959,297856
GPSC15,297856,298044
GPSC15,303251,305251
GPSC15,305251,307009
GPSC15,307009,308727
GPSC15,308727,310543
GPSC15,310543,312344
GPSC15,312344,314114
GPSC15,314114,315909
GPSC15,315909,317742
GPSC15,317742,319562
GPSC15,319562,321383
GPSC15,321383,323145
GPSC15,323145,324908
GPSC15,324908,326678
GPSC15,326678,328167
GPSC15,328167,329616
GPSC15,329616,331418
GPSC15,331418,332962
GPSC15,332962,334940
GPSC15,334940,336755
GPSC15,336755,338731
GPSC15,338731,340537
GPSC15,340537,341085
GPSC15,341085,342921
GPSC15,342921,344670
GPSC15,365129,367127
GPSC15,367127,368965
GPSC15,368965,370766
GPSC15,370766,372551
GPSC15,372551,374343
GPSC15,374343,376183
GPSC15,376183,377983
GPSC15,377983,379744
GPSC15,379744,381378
GPSC15,381378,382909
GPSC15,382909,384706
GPSC15,384706,386474
GPSC15,386474,388072
GPSC15,388072,389999
GPSC15,389999,391979
GPSC15,391979,393801
GPSC15,393801,395604
GPSC15,395604,397377
GPSC15,397377,399345
GPSC15,399345,401123
GPSC15,401123,402965
GPSC15,402965,404803
GPSC15,404803,406609
GPSC15,406609,408368
GPSC15,408368,410162
GPSC15,410162,411926
GPSC15,411926,413532
GPSC15,413532,415388
GPSC15,415388,417276
GPSC15,417276,419274
GPSC15,419274,421065
GPSC15,421065,422712
GPSC15,422712,424505
GPSC15,424505,426350
GPSC15,426350,428133
GPSC15,428133,429911
GPSC15,429911,431715
GPSC15,431715,433483
GPSC15,433483,435331
GPSC15,435331,437175
GPSC15,437175,439004
GPSC15,442439,442636
GPSC15,445325,446105
GPSC15,446105,447859
GPSC15,447859,449641
GPSC15,449641,451418
GPSC15,451418,453207
GPSC15,453207,454957
GPSC15,454957,456613
GPSC15,456613,458568
GPSC15,458568,460111
GPSC15,460111,461987
GPSC15,461987,463983
GPSC15,463983,465717
GPSC15,465717,467469
GPSC15,467469,469333
GPSC15,469333,471150
GPSC15,471150,472947
GPSC15,472947,474761
GPSC15,474761,476543
GPSC15,476543,478119
GPSC15,478119,479787
GPSC15,479787,481799
GPSC15,481799,483688
GPSC15,483688,485587
GPSC15,485587,487423
GPSC15,487423,489198
GPSC15,489198,490807
GPSC15,494217,496071
GPSC15,496071,496301
GPSC15,499618,501579
GPSC15,501579,502821
GPSC15,502821,504800
GPSC15,504800,506703
GPSC15,506703,508637
GPSC15,508637,510388
GPSC15,510388,512174
GPSC15,512174,513950
GPSC15,513950,515642
GPSC15,515642,517436
GPSC15,517436,519211
GPSC15,519211,520589
GPSC15,520589,522382
GPSC15,526461,528309
GPSC15,532690,534659
GPSC15,534659,536512
GPSC15,536512,538284
GPSC15,538284,540092
GPSC15,540092,541864
GPSC15,541864,543688
GPSC15,543688,545455
GPSC15,545455,547223
GPSC15,547223,549053
GPSC15,549053,550873
GPSC15,550873,552697
GPSC15,552697,554250
GPSC15,554250,556221
GPSC15,556221,557898
GPSC15,557898,559659
GPSC15,559659,561419
GPSC15,561419,563261
GPSC15,563261,565048
GPSC15,565048,566879
GPSC15,566879,568664
GPSC15,568664,570433
GPSC15,570433,572253
GPSC15,572253,574046
GPSC15,574046,575843
GPSC15,575843,577652
GPSC15,577652,579412
GPSC15,579412,581208
GPSC15,581208,582969
GPSC15,585382,585782
GPSC15,585782,587505
GPSC15,587505,589377
GPSC15,589377,591049
GPSC15,591049,592587
GPSC15,595287,597189
GPSC15,597189,599112
GPSC15,601888,601905
GPSC15,604443,606443
GPSC15,606443,608246
GPSC15,608246,610094
GPSC15,610094,611909
GPSC15,611909,613725
GPSC15,613725,615541
GPSC15,615541,617352
GPSC15,617352,619277
GPSC15,619277,621055
GPSC15,621055,622883
GPSC15,622883,624726
GPSC15,624726,626219
GPSC15,632057,634017
GPSC15,634017,635894
GPSC15,635894,637700
GPSC15,637700,639454
GPSC15,639454,641273
GPSC15,641273,642926
GPSC15,642926,644751
GPSC15,644751,646354
GPSC15,646354,648183
GPSC15,648183,649958
GPSC15,649958,651762
GPSC15,651762,653407
GPSC15,653407,655159
GPSC15,655159,656896
GPSC15,656896,658455
GPSC15,658455,660280
GPSC15,660280,662077
GPSC15,662077,663877
GPSC15,663877,665492
GPSC15,665492,667262
GPSC15,667262,669018
GPSC15,669018,670818
GPSC15,670818,672602
GPSC15,672602,674404
GPSC15,674404,676189
GPSC15,676189,678023
GPSC15,678023,679830
GPSC15,684175,685663
GPSC15,685663,687435
GPSC15,687435,689264
GPSC15,689264,691057
GPSC15,691057,692894
GPSC15,692894,694664
GPSC15,694664,696505
GPSC15,696505,698308
GPSC15,698308,700061
GPSC15,700061,701846
GPSC15,701846,703843
GPSC15,703843,705609
GPSC15,705609,707421
GPSC15,707421,709247
GPSC15,709247,711060
GPSC15,711060,712857
GPSC15,712857,714635
GPSC15,714635,716472
GPSC15,716472,718297
GPSC15,718297,720081
GPSC15,720081,721923
GPSC15,721923,723716
GPSC15,723716,725486
GPSC15,725486,727244
GPSC15,727244,729068
GPSC15,729068,730870
GPSC15,730870,732654
GPSC15,732654,734433
GPSC15,734433,736218
GPSC15,736218,738007
GPSC15,738007,739759
GPSC15,739759,741527
GPSC15,741527,743350
GPSC15,743350,745101
GPSC15,745101,746939
GPSC15,746939,748870
GPSC15,748870,750546
GPSC15,750546,752149
GPSC15,752149,753961
GPSC15,753961,755878
GPSC15,755878,757511
GPSC15,757511,759179
GPSC15,759179,760938
GPSC15,760938,762772
GPSC15,762772,764473
GPSC15,764473,766193
GPSC15,766193,767957
GPSC15,767957,769691
GPSC15,769691,771870
GPSC15,771870,773714
GPSC15,773714,775362
GPSC15,775362,775784
GPSC15,775784,777595
GPSC15,777595,779401
GPSC15,779401,781229
GPSC15,784198,786032
GPSC15,786032,787777
GPSC15,787777,789584
GPSC15,789584,791425
GPSC15,791425,793271
GPSC15,793271,795055
GPSC15,795055,797022
GPSC15,797022,798838
GPSC15,798838,800694
GPSC15,800694,802685
GPSC15,802685,804472
GPSC15,804472,806225
GPSC15,806225,808030
GPSC15,808030,809900
GPSC15,809900,811773
GPSC15,811773,813773
GPSC15,813773,815595
GPSC15,815595,817386
GPSC15,817386,819190
GPSC15,819190,820940
GPSC15,820940,822542
GPSC15,822542,824516
GPSC15,824516,826344
GPSC15,830402,832356
GPSC15,832356,834198
GPSC15,834198,836064
GPSC15,838364,840077
GPSC15,840077,841923
GPSC15,841923,843627
GPSC15,843627,845460
GPSC15,845460,847234
GPSC15,847234,849045
GPSC15,849045,850875
GPSC15,850875,852440
GPSC15,852440,854186
GPSC15,854186,855992
GPSC15,855992,857752
GPSC15,857752,859385
GPSC15,859385,861202
GPSC15,861202,863011
GPSC15,863011,864820
GPSC15,867557,869557
GPSC15,869557,871335
GPSC15,871335,873069
GPSC15,873069,874823
GPSC15,874823,876417
GPSC15,876417,878260
GPSC15,878260,880041
GPSC15,880041,881880
GPSC15,881880,883686
GPSC15,883686,885345
GPSC15,885345,887124
GPSC15,890304,892116
GPSC15,892116,893882
GPSC15,893882,895706
GPSC15,895706,897529
GPSC15,897529,899324
GPSC15,899324,901130
GPSC15,901130,902911
GPSC15,902911,904733
GPSC15,904733,906446
GPSC15,906446,908287
GPSC15,908287,909982
GPSC15,909982,911788
GPSC15,911788,913592
GPSC15,913592,915346
GPSC15,915346,917250
GPSC15,917250,919030
GPSC15,919030,920796
GPSC15,920796,922556
GPSC15,922556,924357
GPSC15,924357,926194
GPSC15,926194,927888
GPSC15,927888,929682
GPSC15,929682,931453
GPSC15,931453,933223
GPSC15,933223,934983
GPSC15,934983,936573
GPSC15,936573,938363
GPSC15,938363,940125
GPSC15,942627,943926
GPSC15,943926,945749
GPSC15,945749,947262
GPSC15,947262,948829
GPSC15,948829,950670
GPSC15,958714,960606
GPSC15,960606,962583
GPSC15,962583,964497
GPSC15,964497,966463
GPSC15,966463,968296
GPSC15,968296,970143
GPSC15,970143,971966
GPSC15,971966,973777
GPSC15,973777,975439
