"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC10_reference","GPSC11_reference","GPSC13_reference","GPSC14_reference","GPSC15_reference","GPSC16_reference","GPSC17_reference","GPSC18_reference","GPSC19_reference","GPSC1_reference","GPSC21_reference","GPSC22_reference","GPSC23_reference","GPSC25_reference","GPSC26_reference","GPSC27_reference","GPSC2_reference","GPSC30_reference","GPSC31_reference","GPSC32_reference","GPSC33_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC43_reference","GPSC47_reference","GPSC4_reference","GPSC5_reference","GPSC6_reference","GPSC7_reference","GPSC8_reference","GPSC9_reference","NC_017592"
"ygaZ","","hypothetical protein","35","35","1","1","2866","","","","575","695","641","AP023349_00208","GPSC10_reference_00143","GPSC11_reference_00170","GPSC13_reference_00148","GPSC14_reference_00182","GPSC15_reference_00171","GPSC16_reference_00155","GPSC17_reference_00155","GPSC18_reference_00131","GPSC19_reference_00241","GPSC1_reference_00187","GPSC21_reference_00120","GPSC22_reference_00154","GPSC23_reference_00231","GPSC25_reference_00266","GPSC26_reference_00150","GPSC27_reference_00142","GPSC2_reference_00204","GPSC30_reference_00209","GPSC31_reference_00152","GPSC32_reference_00243","GPSC33_reference_00178","GPSC34_reference_00197","GPSC37_reference_00186","GPSC3_reference_00193","GPSC40_reference_00201","GPSC43_reference_00113","GPSC47_reference_00179","GPSC4_reference_00142","GPSC5_reference_00222","GPSC6_reference_00221","GPSC7_reference_00251","GPSC8_reference_00214","GPSC9_reference_00136","NC_017592_00203"
"rpe","","Ribulose-phosphate 3-epimerase","35","35","1","1","5872","","","","656","1544","681","AP023349_00391","GPSC10_reference_01795","GPSC11_reference_01855","GPSC13_reference_01824","GPSC14_reference_01858","GPSC15_reference_01755","GPSC16_reference_01964","GPSC17_reference_01843","GPSC18_reference_01838","GPSC19_reference_01873","GPSC1_reference_01872","GPSC21_reference_01798","GPSC22_reference_01809","GPSC23_reference_02007","GPSC25_reference_01908","GPSC26_reference_01908","GPSC27_reference_01908","GPSC2_reference_01896","GPSC30_reference_01890","GPSC31_reference_01828","GPSC32_reference_01919","GPSC33_reference_01796","GPSC34_reference_01835","GPSC37_reference_01815","GPSC3_reference_01899","GPSC40_reference_01863","GPSC43_reference_01823","GPSC47_reference_01939","GPSC4_reference_01841","GPSC5_reference_01892","GPSC6_reference_01923","GPSC7_reference_01946","GPSC8_reference_01963","GPSC9_reference_01781","NC_017592_01831"
"thiN","","Thiamine pyrophosphokinase","35","35","1","1","5871","","","","662","662","662","AP023349_00392","GPSC10_reference_01794","GPSC11_reference_01854","GPSC13_reference_01823","GPSC14_reference_01857","GPSC15_reference_01754","GPSC16_reference_01963","GPSC17_reference_01842","GPSC18_reference_01837","GPSC19_reference_01872","GPSC1_reference_01871","GPSC21_reference_01797","GPSC22_reference_01808","GPSC23_reference_02006","GPSC25_reference_01907","GPSC26_reference_01907","GPSC27_reference_01907","GPSC2_reference_01895","GPSC30_reference_01889","GPSC31_reference_01827","GPSC32_reference_01918","GPSC33_reference_01795","GPSC34_reference_01834","GPSC37_reference_01814","GPSC3_reference_01898","GPSC40_reference_01862","GPSC43_reference_01822","GPSC47_reference_01938","GPSC4_reference_01840","GPSC5_reference_01891","GPSC6_reference_01922","GPSC7_reference_01945","GPSC8_reference_01962","GPSC9_reference_01780","NC_017592_01830"
"agrA_1","","Accessory gene regulator protein A","35","35","1","1","4937","","","","668","737","735","AP023349_00471","GPSC10_reference_00470","GPSC11_reference_00517","GPSC13_reference_00479","GPSC14_reference_00500","GPSC15_reference_00485","GPSC16_reference_00468","GPSC17_reference_00521","GPSC18_reference_00452","GPSC19_reference_00554","GPSC1_reference_00537","GPSC21_reference_00443","GPSC22_reference_00484","GPSC23_reference_00581","GPSC25_reference_00617","GPSC26_reference_00485","GPSC27_reference_00497","GPSC2_reference_00519","GPSC30_reference_00537","GPSC31_reference_00497","GPSC32_reference_00565","GPSC33_reference_00492","GPSC34_reference_00525","GPSC37_reference_00504","GPSC3_reference_00496","GPSC40_reference_00517","GPSC43_reference_00430","GPSC47_reference_00520","GPSC4_reference_00499","GPSC5_reference_00552","GPSC6_reference_00542","GPSC7_reference_00610","GPSC8_reference_00556","GPSC9_reference_00445","NC_017592_00513"
"trmK","","tRNA (adenine(22)-N(1))-methyltransferase","35","35","1","1","3183","","","","215","677","660","AP023349_00720","GPSC10_reference_01477","GPSC11_reference_01504","GPSC13_reference_01443","GPSC14_reference_01494","GPSC15_reference_01409","GPSC16_reference_01580","GPSC17_reference_01488","GPSC18_reference_01464","GPSC19_reference_01533","GPSC1_reference_01485","GPSC21_reference_01453","GPSC22_reference_01452","GPSC23_reference_01631","GPSC25_reference_01581","GPSC26_reference_01561","GPSC27_reference_01527","GPSC2_reference_01540","GPSC30_reference_01530","GPSC31_reference_01474","GPSC32_reference_01593","GPSC33_reference_01433","GPSC34_reference_01511","GPSC37_reference_01448","GPSC3_reference_01555","GPSC40_reference_01502","GPSC43_reference_01414","GPSC47_reference_01605","GPSC4_reference_01485","GPSC5_reference_01567","GPSC6_reference_01552","GPSC7_reference_01613","GPSC8_reference_01573","GPSC9_reference_01454","NC_017592_01468"
"group_1014","","hypothetical protein","35","35","1","1","1615","","","","107","557","539","AP023349_00765","GPSC10_reference_00556","GPSC11_reference_00628","GPSC13_reference_00594","GPSC14_reference_00606","GPSC15_reference_00595","GPSC16_reference_00573","GPSC17_reference_00628","GPSC18_reference_00563","GPSC19_reference_00676","GPSC1_reference_00646","GPSC21_reference_00616","GPSC22_reference_00592","GPSC23_reference_00691","GPSC25_reference_00728","GPSC26_reference_00603","GPSC27_reference_00611","GPSC2_reference_00624","GPSC30_reference_00640","GPSC31_reference_00605","GPSC32_reference_00670","GPSC33_reference_00596","GPSC34_reference_00637","GPSC37_reference_00615","GPSC3_reference_00607","GPSC40_reference_00628","GPSC43_reference_00547","GPSC47_reference_00633","GPSC4_reference_00566","GPSC5_reference_00664","GPSC6_reference_00650","GPSC7_reference_00720","GPSC8_reference_00676","GPSC9_reference_00554","NC_017592_00619"
"bacC","","3-beta-hydroxycholanate 3-dehydrogenase (NAD(+)) 2","35","35","1","1","3550","","","","698","698","698","AP023349_00904","GPSC10_reference_00684","GPSC11_reference_00747","GPSC13_reference_00718","GPSC14_reference_00728","GPSC15_reference_00714","GPSC16_reference_00699","GPSC17_reference_00749","GPSC18_reference_00693","GPSC19_reference_00804","GPSC1_reference_01351","GPSC21_reference_00754","GPSC22_reference_00716","GPSC23_reference_01474","GPSC25_reference_00851","GPSC26_reference_00738","GPSC27_reference_00743","GPSC2_reference_00746","GPSC30_reference_00757","GPSC31_reference_00735","GPSC32_reference_00798","GPSC33_reference_00737","GPSC34_reference_00755","GPSC37_reference_00740","GPSC3_reference_00731","GPSC40_reference_00748","GPSC43_reference_00666","GPSC47_reference_00760","GPSC4_reference_00696","GPSC5_reference_00784","GPSC6_reference_00774","GPSC7_reference_00868","GPSC8_reference_00800","GPSC9_reference_00681","NC_017592_00738"
"nnrD","","ADP-dependent (S)-NAD(P)H-hydrate dehydratase","35","35","1","1","1125","","","","251","872","852","AP023349_00933","GPSC10_reference_00711","GPSC11_reference_00773","GPSC13_reference_00743","GPSC14_reference_00756","GPSC15_reference_00762","GPSC16_reference_00726","GPSC17_reference_00771","GPSC18_reference_00718","GPSC19_reference_00828","GPSC1_reference_01322","GPSC21_reference_00784","GPSC22_reference_00741","GPSC23_reference_01444","GPSC25_reference_00877","GPSC26_reference_00765","GPSC27_reference_00775","GPSC2_reference_00777","GPSC30_reference_00782","GPSC31_reference_00759","GPSC32_reference_00821","GPSC33_reference_00760","GPSC34_reference_00780","GPSC37_reference_00769","GPSC3_reference_00755","GPSC40_reference_00773","GPSC43_reference_00692","GPSC47_reference_00790","GPSC4_reference_00722","GPSC5_reference_00813","GPSC6_reference_00801","GPSC7_reference_00890","GPSC8_reference_00824","GPSC9_reference_00705","NC_017592_00763"
"prsA","","Foldase protein PrsA","35","35","1","1","3988","","","","317","941","910","AP023349_01005","GPSC10_reference_00867","GPSC11_reference_00924","GPSC13_reference_00893","GPSC14_reference_00900","GPSC15_reference_00908","GPSC16_reference_00880","GPSC17_reference_00926","GPSC18_reference_00906","GPSC19_reference_00978","GPSC1_reference_01175","GPSC21_reference_00475","GPSC22_reference_00894","GPSC23_reference_01292","GPSC25_reference_01032","GPSC26_reference_00914","GPSC27_reference_00932","GPSC2_reference_00926","GPSC30_reference_00947","GPSC31_reference_00907","GPSC32_reference_00977","GPSC33_reference_00914","GPSC34_reference_00931","GPSC37_reference_00922","GPSC3_reference_00966","GPSC40_reference_00924","GPSC43_reference_00918","GPSC47_reference_00943","GPSC4_reference_00870","GPSC5_reference_00959","GPSC6_reference_00952","GPSC7_reference_01039","GPSC8_reference_00978","GPSC9_reference_00853","NC_017592_00920"
"group_1025","","putative RNA methyltransferase","35","35","1","1","3871","","","","1355","1631","1594","AP023349_01154","GPSC10_reference_00911","GPSC11_reference_00971","GPSC13_reference_01026","GPSC14_reference_00945","GPSC15_reference_00958","GPSC16_reference_00925","GPSC17_reference_00974","GPSC18_reference_00952","GPSC19_reference_01023","GPSC1_reference_01035","GPSC21_reference_00919","GPSC22_reference_00939","GPSC23_reference_01247","GPSC25_reference_01076","GPSC26_reference_00987","GPSC27_reference_00979","GPSC2_reference_00972","GPSC30_reference_00996","GPSC31_reference_00956","GPSC32_reference_01025","GPSC33_reference_00959","GPSC34_reference_00978","GPSC37_reference_00967","GPSC3_reference_01113","GPSC40_reference_00969","GPSC43_reference_00962","GPSC47_reference_00987","GPSC4_reference_00914","GPSC5_reference_01003","GPSC6_reference_00996","GPSC7_reference_01108","GPSC8_reference_01023","GPSC9_reference_00898","NC_017592_00965"
