Sequence,Start,End,Primer Type
ERR144577,15,1847,fwd
ERR144577,1847,3710,fwd
ERR144577,3710,5464,fwd
ERR144577,5464,7321,fwd
ERR144577,7321,9108,fwd
ERR144577,9108,10898,fwd
ERR144577,10898,12716,fwd
ERR144577,12716,14467,fwd
ERR144577,14467,16307,fwd
ERR144577,16307,18144,fwd
ERR144577,18144,19999,fwd
ERR144577,19999,21780,fwd
ERR144577,21780,23540,fwd
ERR144577,23540,25367,fwd
ERR144577,25367,27160,fwd
ERR144577,27160,28969,fwd
ERR144577,28969,30879,fwd
ERR144577,30879,32563,fwd
ERR144577,32563,34352,fwd
ERR144577,34352,36205,fwd
ERR144577,36205,38061,fwd
ERR144577,38061,39864,fwd
ERR144577,39864,41675,fwd
ERR144577,41675,43504,fwd
ERR144577,43504,45239,fwd
ERR144577,45239,47082,fwd
ERR144577,47082,48892,fwd
ERR144577,48892,50654,fwd
ERR144577,50654,52442,fwd
ERR144577,52442,54138,fwd
ERR144577,54138,56053,fwd
ERR144577,56053,57826,fwd
ERR144577,57826,59565,fwd
ERR144577,59565,61473,fwd
ERR144577,61473,63317,fwd
ERR144577,63317,65109,fwd
ERR144577,65109,66840,fwd
ERR144577,66840,68729,fwd
ERR144577,68729,70458,fwd
ERR144577,70458,72313,fwd
ERR144577,72313,74069,fwd
ERR144577,74069,75805,fwd
ERR144577,75805,77638,fwd
ERR144577,77638,79408,fwd
ERR144577,79408,81212,fwd
ERR144577,81212,83016,fwd
ERR144577,83016,84846,fwd
ERR144577,84846,86561,fwd
ERR144577,86561,88295,fwd
ERR144577,88295,90178,fwd
ERR144577,90178,91860,fwd
ERR144577,91860,93728,fwd
ERR144577,93728,95559,fwd
ERR144577,95559,97360,fwd
ERR144577,100925,101677,fwd
ERR144577,101677,103407,fwd
ERR144577,103407,105231,fwd
ERR144577,105231,107018,fwd
ERR144577,107018,108845,fwd
ERR144577,108845,110719,fwd
ERR144577,110719,112510,fwd
ERR144577,112510,114321,fwd
ERR144577,114321,116107,fwd
ERR144577,116107,117813,fwd
ERR144577,117813,119671,fwd
ERR144577,119671,121492,fwd
ERR144577,121492,123247,fwd
ERR144577,123247,125014,fwd
ERR144577,125014,126842,fwd
ERR144577,126842,128631,fwd
ERR144577,128631,129473,fwd
ERR144577,129473,131172,fwd
ERR144577,131172,133031,fwd
ERR144577,133031,134798,fwd
ERR144577,134798,136603,fwd
ERR144577,136603,138421,fwd
ERR144577,138421,140285,fwd
ERR144577,140285,142074,fwd
ERR144577,142074,143880,fwd
ERR144577,143880,145707,fwd
ERR144577,145707,147523,fwd
ERR144577,147523,149270,fwd
ERR144577,149270,151070,fwd
ERR144577,151070,152871,fwd
ERR144577,152871,154660,fwd
ERR144577,154660,156537,fwd
ERR144577,156537,158331,fwd
ERR144577,158331,160111,fwd
ERR144577,160111,161851,fwd
ERR144577,165436,167359,fwd
ERR144577,167359,169126,fwd
ERR144577,169126,170921,fwd
ERR144577,170921,172794,fwd
ERR144577,172794,174653,fwd
ERR144577,174653,175634,fwd
ERR144577,180959,182718,fwd
ERR144577,182718,184462,fwd
ERR144577,184462,185484,fwd
ERR144577,185484,186981,fwd
ERR144577,186981,188857,fwd
ERR144577,188857,190614,fwd
ERR144577,190614,192378,fwd
ERR144577,192378,194186,fwd
ERR144577,194186,196017,fwd
ERR144577,196017,197734,fwd
ERR144577,197734,199506,fwd
ERR144577,199506,201360,fwd
ERR144577,201360,203219,fwd
ERR144577,203219,204969,fwd
ERR144577,204969,206796,fwd
ERR144577,206796,208583,fwd
ERR144577,208583,210422,fwd
ERR144577,210422,212202,fwd
ERR144577,212202,214056,fwd
ERR144577,214056,215877,fwd
ERR144577,215877,217562,fwd
ERR144577,217562,219431,fwd
ERR144577,219431,221208,fwd
ERR144577,221208,223060,fwd
ERR144577,223060,224879,fwd
ERR144577,224879,226645,fwd
ERR144577,226645,228420,fwd
ERR144577,228420,230308,fwd
ERR144577,230308,232049,fwd
ERR144577,232049,233848,fwd
ERR144577,233848,235590,fwd
ERR144577,235590,237333,fwd
ERR144577,237333,239138,fwd
ERR144577,239138,240949,fwd
ERR144577,240949,242806,fwd
ERR144577,242806,244639,fwd
ERR144577,244639,246502,fwd
ERR144577,246502,248254,fwd
ERR144577,248254,250071,fwd
ERR144577,250071,251774,fwd
ERR144577,251774,253589,fwd
ERR144577,253589,255386,fwd
ERR144577,255386,257156,fwd
ERR144577,257156,258995,fwd
ERR144577,258995,260724,fwd
ERR144577,260724,262469,fwd
ERR144577,262469,264330,fwd
ERR144577,264330,266200,fwd
ERR144577,266200,267939,fwd
ERR144577,267939,269852,fwd
ERR144577,269852,271570,fwd
ERR144577,271570,273422,fwd
ERR144577,273422,275207,fwd
ERR144577,275207,276918,fwd
ERR144577,276918,278737,fwd
ERR144577,278737,280516,fwd
ERR144577,280516,282289,fwd
ERR144577,282289,284146,fwd
ERR144577,284146,285908,fwd
ERR144577,285908,287698,fwd
ERR144577,287698,289477,fwd
ERR144577,289477,291172,fwd
ERR144577,291172,292987,fwd
ERR144577,292987,294794,fwd
ERR144577,294794,296627,fwd
ERR144577,296627,298497,fwd
ERR144577,298497,300280,fwd
ERR144577,300280,302066,fwd
ERR144577,302066,303798,fwd
ERR144577,303798,305696,fwd
ERR144577,305696,305950,fwd
ERR144577,305950,307737,fwd
ERR144577,307737,309614,fwd
ERR144577,309614,311335,fwd
ERR144577,311335,313152,fwd
ERR144577,313152,314945,fwd
ERR144577,314945,316824,fwd
ERR144577,316824,318646,fwd
ERR144577,318646,320409,fwd
ERR144577,320409,322120,fwd
ERR144577,322120,323895,fwd
ERR144577,323895,325771,fwd
ERR144577,325771,327508,fwd
ERR144577,327508,329317,fwd
ERR144577,329317,331060,fwd
ERR144577,331060,331504,fwd
ERR144577,339066,339343,fwd
ERR144577,339343,341179,fwd
ERR144577,341179,343003,fwd
ERR144577,343003,344830,fwd
ERR144577,344830,346556,fwd
ERR144577,346556,347644,fwd
ERR144577,347644,349454,fwd
ERR144577,349454,351476,fwd
ERR144577,351476,353204,fwd
ERR144577,353204,355105,fwd
ERR144577,355105,356818,fwd
ERR144577,356818,358640,fwd
ERR144577,358640,359359,fwd
ERR144577,359359,361113,fwd
ERR144577,361113,363113,fwd
ERR144577,363113,364197,fwd
ERR144577,375703,377473,fwd
ERR144577,377473,379307,fwd
ERR144577,379307,381070,fwd
ERR144577,381070,382793,fwd
ERR144577,382793,384656,fwd
ERR144577,384656,386528,fwd
ERR144577,386528,388263,fwd
ERR144577,388263,390063,fwd
ERR144577,390063,391852,fwd
ERR144577,391852,393593,fwd
ERR144577,393593,395421,fwd
ERR144577,395421,397237,fwd
ERR144577,397237,398995,fwd
ERR144577,398995,400772,fwd
ERR144577,400772,402606,fwd
ERR144577,402606,404401,fwd
ERR144577,404401,406267,fwd
ERR144577,406267,407987,fwd
ERR144577,407987,409841,fwd
ERR144577,409841,411567,fwd
ERR144577,411567,413463,fwd
ERR144577,413463,415195,fwd
ERR144577,415195,416987,fwd
ERR144577,416987,418800,fwd
ERR144577,418800,420604,fwd
ERR144577,420604,422336,fwd
ERR144577,422336,422842,fwd
ERR144577,434678,436412,fwd
ERR144577,436412,438224,fwd
ERR144577,438224,440059,fwd
ERR144577,440059,441815,fwd
ERR144577,441815,443567,fwd
ERR144577,443567,445267,fwd
ERR144577,445267,447198,fwd
ERR144577,447198,449003,fwd
ERR144577,449003,450691,fwd
ERR144577,450691,452531,fwd
ERR144577,452531,454401,fwd
ERR144577,454401,456230,fwd
ERR144577,456230,458015,fwd
ERR144577,458015,459729,fwd
ERR144577,459729,461519,fwd
ERR144577,461519,463346,fwd
ERR144577,463346,465088,fwd
