Sequence,Start,End
SRR1175079,15,1847
SRR1175079,1847,3710
SRR1175079,3710,5683
SRR1175079,5683,7495
SRR1175079,7495,9281
SRR1175079,9281,11115
SRR1175079,11115,12882
SRR1175079,12882,14683
SRR1175079,14683,16532
SRR1175079,16532,18325
SRR1175079,18325,20164
SRR1175079,20164,21974
SRR1175079,21974,23754
SRR1175079,23754,25546
SRR1175079,25546,27336
SRR1175079,27336,29180
SRR1175079,29180,31013
SRR1175079,31013,32770
SRR1175079,32770,34529
SRR1175079,34529,36375
SRR1175079,36375,38210
SRR1175079,38210,40002
SRR1175079,40002,41821
SRR1175079,41821,43645
SRR1175079,43645,45424
SRR1175079,45424,47252
SRR1175079,47252,49042
SRR1175079,49042,50793
SRR1175079,50793,52578
SRR1175079,52578,54370
SRR1175079,54370,56194
SRR1175079,56194,57967
SRR1175079,57967,59795
SRR1175079,59795,61627
SRR1175079,61627,63464
SRR1175079,63464,65256
SRR1175079,65256,67055
SRR1175079,67055,68905
SRR1175079,68905,70665
SRR1175079,70665,72456
SRR1175079,72456,74236
SRR1175079,74236,76008
SRR1175079,76008,77775
SRR1175079,77775,79602
SRR1175079,79602,81412
SRR1175079,81412,83194
SRR1175079,83194,84982
SRR1175079,84982,86759
SRR1175079,86759,88521
SRR1175079,88521,90348
SRR1175079,90348,92123
SRR1175079,92123,93895
SRR1175079,93895,95697
SRR1175079,95697,97543
SRR1175079,97543,99380
SRR1175079,99380,101154
SRR1175079,101154,102966
SRR1175079,102966,103662
SRR1175079,103662,105306
SRR1175079,105306,107220
SRR1175079,107220,109036
SRR1175079,109036,110883
SRR1175079,110883,112674
SRR1175079,112674,114495
SRR1175079,114495,116250
SRR1175079,116250,118041
SRR1175079,118041,119852
SRR1175079,119852,121673
SRR1175079,121673,123431
SRR1175079,123431,125217
SRR1175079,125217,127054
SRR1175079,127054,128829
SRR1175079,128829,130581
SRR1175079,130581,131383
SRR1175079,131383,133209
SRR1175079,133209,134996
SRR1175079,134996,136800
SRR1175079,136800,138585
SRR1175079,138585,140434
SRR1175079,140434,142242
SRR1175079,142242,144037
SRR1175079,144037,145883
SRR1175079,145883,147670
SRR1175079,147670,149464
SRR1175079,149464,151275
SRR1175079,151275,153035
SRR1175079,153035,154885
SRR1175079,154885,156677
SRR1175079,156677,158472
SRR1175079,158472,160272
SRR1175079,160272,162038
SRR1175079,162038,163883
SRR1175079,163883,165660
SRR1175079,165660,167507
SRR1175079,167507,169355
SRR1175079,169355,171141
SRR1175079,171141,172974
SRR1175079,172974,174823
SRR1175079,174823,176657
SRR1175079,176657,177538
SRR1175079,180961,182909
SRR1175079,182909,184661
SRR1175079,184661,186477
SRR1175079,186477,187417
SRR1175079,187417,188926
SRR1175079,188926,190760
SRR1175079,190760,192553
SRR1175079,192553,194396
SRR1175079,194396,196154
SRR1175079,196154,197953
SRR1175079,197953,199712
SRR1175079,199712,201536
SRR1175079,201536,203376
SRR1175079,203376,205192
SRR1175079,205192,206998
SRR1175079,206998,208772
SRR1175079,208772,210607
SRR1175079,210607,212427
SRR1175079,212427,214195
SRR1175079,214195,216019
SRR1175079,216019,217791
SRR1175079,217791,219582
SRR1175079,219582,221409
SRR1175079,221409,223224
SRR1175079,223224,225045
SRR1175079,225045,226852
SRR1175079,226852,228611
SRR1175079,228611,230445
SRR1175079,230445,232237
SRR1175079,232237,234038
SRR1175079,234038,235795
SRR1175079,235795,237551
SRR1175079,237551,239365
SRR1175079,239365,241177
SRR1175079,241177,243027
SRR1175079,243027,244847
SRR1175079,244847,246650
SRR1175079,246650,248449
SRR1175079,248449,250209
SRR1175079,250209,251977
SRR1175079,251977,253741
SRR1175079,253741,255528
SRR1175079,255528,257357
SRR1175079,257357,259188
SRR1175079,259188,260943
SRR1175079,260943,262697
SRR1175079,262697,264507
SRR1175079,264507,266352
SRR1175079,266352,268169
SRR1175079,268169,270001
SRR1175079,270001,271830
SRR1175079,271830,273560
SRR1175079,273560,275364
SRR1175079,275364,277129
SRR1175079,277129,278909
SRR1175079,278909,280718
SRR1175079,280718,282508
SRR1175079,282508,284351
SRR1175079,284351,286119
SRR1175079,286119,287903
SRR1175079,287903,289703
SRR1175079,289703,291466
SRR1175079,291466,293175
SRR1175079,293175,295017
SRR1175079,295017,296798
SRR1175079,296798,298637
SRR1175079,298637,300478
SRR1175079,300478,302270
SRR1175079,302270,304018
SRR1175079,304018,305952
SRR1175079,305952,307869
SRR1175079,307869,309669
SRR1175079,309669,311522
SRR1175079,311522,313325
SRR1175079,313325,315153
SRR1175079,315153,316962
SRR1175079,316962,318784
SRR1175079,318784,320580
SRR1175079,320580,322334
SRR1175079,322334,324118
SRR1175079,324118,325948
SRR1175079,325948,327727
SRR1175079,327727,329483
SRR1175079,329483,331275
SRR1175079,331275,333096
SRR1175079,333096,333428
SRR1175079,339095,341024
SRR1175079,341024,343024
SRR1175079,343024,345000
SRR1175079,345000,346824
SRR1175079,346824,348576
SRR1175079,348576,349642
SRR1175079,349642,351524
SRR1175079,351524,353420
SRR1175079,353420,355269
SRR1175079,355269,357067
SRR1175079,357067,358881
SRR1175079,358881,360637
SRR1175079,360637,361351
SRR1175079,361351,363195
SRR1175079,363195,365081
SRR1175079,365081,366164
SRR1175079,375732,377686
SRR1175079,377686,379473
SRR1175079,379473,381235
SRR1175079,381235,383039
SRR1175079,383039,384880
SRR1175079,384880,386720
SRR1175079,386720,388515
SRR1175079,388515,390276
SRR1175079,390276,392053
SRR1175079,392053,393835
SRR1175079,393835,395648
SRR1175079,395648,397447
SRR1175079,397447,399198
SRR1175079,399198,401198
SRR1175079,401198,402798
SRR1175079,402798,404624
SRR1175079,404624,406446
SRR1175079,406446,408202
SRR1175079,408202,410012
SRR1175079,410012,411813
SRR1175079,411813,413614
SRR1175079,413614,415375
SRR1175079,415375,417163
SRR1175079,417163,419007
SRR1175079,419007,420784
SRR1175079,420784,422630
SRR1175079,422630,424268
SRR1175079,424268,424776
SRR1175079,434695,436626
SRR1175079,436626,438461
SRR1175079,438461,440261
SRR1175079,440261,442020
SRR1175079,442020,443773
SRR1175079,443773,445519
SRR1175079,445519,447351
SRR1175079,447351,449153
SRR1175079,449153,450923
SRR1175079,450923,452762
SRR1175079,452762,454587
SRR1175079,454587,456436
SRR1175079,456436,458205
SRR1175079,458205,459972
SRR1175079,459972,461750
SRR1175079,461750,463509
