Sequence,Start,End,Primer Type
AP023349,5408,7222,fwd
AP023349,7222,9070,fwd
AP023349,16513,18331,fwd
AP023349,18331,20190,fwd
AP023349,23870,23890,fwd
AP023349,37711,37732,fwd
AP023349,58362,60311,fwd
AP023349,64857,64875,fwd
AP023349,84037,84056,fwd
AP023349,92912,94409,fwd
AP023349,97938,97957,fwd
AP023349,101516,103507,fwd
AP023349,108735,108754,fwd
AP023349,111792,111812,fwd
AP023349,115361,115380,fwd
AP023349,118775,118797,fwd
AP023349,128334,128353,fwd
AP023349,131373,131393,fwd
AP023349,149420,151226,fwd
AP023349,151226,152867,fwd
AP023349,152867,154501,fwd
AP023349,154501,156321,fwd
AP023349,159413,160256,fwd
AP023349,160256,162128,fwd
AP023349,168716,168736,fwd
AP023349,181093,181112,fwd
AP023349,184851,184870,fwd
AP023349,191541,191560,fwd
AP023349,194867,196619,fwd
AP023349,203135,203154,fwd
AP023349,209928,211672,fwd
AP023349,211672,213516,fwd
AP023349,213516,215299,fwd
AP023349,215299,217126,fwd
AP023349,217126,218919,fwd
AP023349,222548,224246,fwd
AP023349,224246,226113,fwd
AP023349,229508,231347,fwd
AP023349,231347,233093,fwd
AP023349,233093,234890,fwd
AP023349,240147,240171,fwd
AP023349,243628,243651,fwd
AP023349,252340,254149,fwd
AP023349,254149,255960,fwd
AP023349,263716,263735,fwd
AP023349,265946,267824,fwd
AP023349,271410,271429,fwd
AP023349,274977,276942,fwd
AP023349,276942,279062,fwd
AP023349,279062,279082,fwd
AP023349,284547,286263,fwd
AP023349,286263,288141,fwd
AP023349,288141,289871,fwd
AP023349,289871,291536,fwd
AP023349,291536,292805,fwd
AP023349,299461,299479,fwd
AP023349,303716,305441,fwd
AP023349,305441,306992,fwd
AP023349,314043,315864,fwd
AP023349,315864,317681,fwd
AP023349,317681,319508,fwd
AP023349,329467,331096,fwd
AP023349,331096,331989,fwd
AP023349,331989,333748,fwd
AP023349,333748,335547,fwd
AP023349,335547,337099,fwd
AP023349,341491,343281,fwd
AP023349,346730,348636,fwd
AP023349,351085,351110,fwd
AP023349,356383,356402,fwd
AP023349,359563,361381,fwd
AP023349,361381,363095,fwd
AP023349,381731,383561,fwd
AP023349,383561,385310,fwd
AP023349,392293,393937,fwd
AP023349,393937,395754,fwd
AP023349,405802,407613,fwd
AP023349,411275,412872,fwd
AP023349,420469,420487,fwd
AP023349,424468,426237,fwd
AP023349,435043,436868,fwd
AP023349,436868,438576,fwd
AP023349,438576,440342,fwd
AP023349,440342,442244,fwd
AP023349,442244,443941,fwd
AP023349,448118,449784,fwd
AP023349,452340,452364,fwd
AP023349,459748,459773,fwd
AP023349,465162,465187,fwd
AP023349,474221,474243,fwd
AP023349,477137,477156,fwd
AP023349,479481,479503,fwd
AP023349,483517,485442,fwd
AP023349,490587,491870,fwd
AP023349,500053,500074,fwd
AP023349,508460,508481,fwd
AP023349,515439,515462,fwd
AP023349,541541,541561,fwd
AP023349,546949,546971,fwd
AP023349,557856,559700,fwd
AP023349,565965,565987,fwd
AP023349,571337,571356,fwd
AP023349,575754,575778,fwd
AP023349,581666,583666,fwd
AP023349,583666,583671,fwd
AP023349,595734,595758,fwd
AP023349,602703,603793,fwd
AP023349,607258,607278,fwd
AP023349,615188,615829,fwd
AP023349,620148,620172,fwd
AP023349,625289,627139,fwd
AP023349,630630,630650,fwd
AP023349,635684,637528,fwd
AP023349,637528,638075,fwd
AP023349,654073,654094,fwd
AP023349,670235,670253,fwd
AP023349,673796,673820,fwd
AP023349,679805,679823,fwd
AP023349,702838,702861,fwd
AP023349,711779,711798,fwd
AP023349,717355,717375,fwd
AP023349,721281,722838,fwd
AP023349,722838,724333,fwd
AP023349,724333,725763,fwd
AP023349,725763,727191,fwd
AP023349,765213,765232,fwd
AP023349,768957,768976,fwd
AP023349,777426,777450,fwd
AP023349,798596,800503,fwd
AP023349,803972,803996,fwd
AP023349,808088,809767,fwd
AP023349,813352,813371,fwd
AP023349,815796,817556,fwd
AP023349,817556,819358,fwd
AP023349,819358,821243,fwd
AP023349,821243,823065,fwd
AP023349,826702,828455,fwd
AP023349,828455,830240,fwd
AP023349,841697,841721,fwd
AP023349,846967,848763,fwd
AP023349,848763,850555,fwd
AP023349,850555,852123,fwd
AP023349,852123,853172,fwd
AP023349,853172,854982,fwd
AP023349,854982,856550,fwd
AP023349,867049,868869,fwd
AP023349,874154,875994,fwd
AP023349,875994,877674,fwd
AP023349,877674,879535,fwd
AP023349,879535,881277,fwd
AP023349,881277,883123,fwd
AP023349,886390,888264,fwd
AP023349,895543,895562,fwd
AP023349,899150,899175,fwd
AP023349,901388,901409,fwd
AP023349,904964,906707,fwd
AP023349,906707,908559,fwd
AP023349,908559,910326,fwd
AP023349,910326,912214,fwd
AP023349,912214,914045,fwd
AP023349,917931,917951,fwd
AP023349,926138,927297,fwd
AP023349,927297,929320,fwd
AP023349,929320,931214,fwd
AP023349,931214,933032,fwd
AP023349,936557,936579,fwd
AP023349,939742,939763,fwd
AP023349,942032,942052,fwd
AP023349,946424,948036,fwd
AP023349,957072,957090,fwd
AP023349,961300,963143,fwd
AP023349,965607,967439,fwd
AP023349,967439,969357,fwd
AP023349,976532,976558,fwd
AP023349,979736,981665,fwd
AP023349,985265,987004,fwd
AP023349,989464,989483,fwd
AP023349,993049,993070,fwd
AP023349,996359,996377,fwd
AP023349,1003031,1004832,fwd
AP023349,1004832,1006602,fwd
AP023349,1006602,1008369,fwd
AP023349,1008369,1010456,fwd
AP023349,1010456,1012179,fwd
AP023349,1015122,1016939,fwd
AP023349,1022963,1024937,fwd
AP023349,1024937,1026798,fwd
AP023349,1032684,1032707,fwd
AP023349,1043127,1043146,fwd
AP023349,1049819,1049841,fwd
AP023349,1053923,1055734,fwd
AP023349,1059241,1059260,fwd
AP023349,1067162,1067620,fwd
AP023349,1077974,1077997,fwd
AP023349,1083459,1083476,fwd
AP023349,1088825,1088846,fwd
AP023349,1108903,1110789,fwd
AP023349,1114876,1116808,fwd
AP023349,1116808,1118785,fwd
AP023349,1118785,1120661,fwd
AP023349,1120661,1122255,fwd
AP023349,1125530,1125552,fwd
AP023349,1129603,1129625,fwd
AP023349,1132799,1134376,fwd
AP023349,1134376,1135534,fwd
AP023349,1145511,1147297,fwd
AP023349,1150148,1151762,fwd
AP023349,1155436,1155459,fwd
AP023349,1161388,1163184,fwd
AP023349,1170009,1170028,fwd
AP023349,1175328,1177084,fwd
AP023349,1177084,1178910,fwd
AP023349,1178910,1180252,fwd
AP023349,1185663,1187379,fwd
AP023349,1199502,1199521,fwd
AP023349,1212401,1212421,fwd
AP023349,1214898,1214920,fwd
AP023349,1220602,1222350,fwd
AP023349,1225974,1227744,fwd
AP023349,1231443,1231464,fwd
AP023349,1235077,1235096,fwd
AP023349,1239966,1239984,fwd
AP023349,1243528,1243550,fwd
AP023349,1247210,1248931,fwd
AP023349,1259374,1259396,fwd
AP023349,1264239,1264261,fwd
AP023349,1267696,1267716,fwd
AP023349,1270280,1271941,fwd
AP023349,1275505,1277295,fwd
AP023349,1277295,1278942,fwd
AP023349,1282647,1282665,fwd
AP023349,1287940,1289690,fwd
AP023349,1289690,1291351,fwd
AP023349,1294560,1296335,fwd
AP023349,1296335,1298128,fwd
AP023349,1298128,1299970,fwd
AP023349,1299970,1301797,fwd
AP023349,1309089,1310979,fwd
AP023349,1327446,1329256,fwd
AP023349,1329256,1331058,fwd
AP023349,1333874,1335514,fwd
AP023349,1335514,1337653,fwd
AP023349,1337653,1339344,fwd
AP023349,1339344,1341245,fwd
AP023349,1341245,1343095,fwd
AP023349,1346777,1348594,fwd
AP023349,1361595,1361617,fwd
AP023349,1364706,1364727,fwd
AP023349,1372267,1374119,fwd
AP023349,1377661,1377684,fwd
AP023349,1382235,1384233,fwd
AP023349,1384233,1385968,fwd
AP023349,1385968,1387729,fwd
AP023349,1393829,1395697,fwd
AP023349,1402468,1402488,fwd
AP023349,1406072,1408033,fwd
AP023349,1408033,1409795,fwd
AP023349,1415241,1417026,fwd
AP023349,1417026,1418766,fwd
AP023349,1418766,1420525,fwd
AP023349,1420525,1422316,fwd
