"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","AP023349","GPSC15_reference","GPSC21_reference","GPSC22_reference","GPSC26_reference","GPSC31_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC40_reference","GPSC4_reference","GPSC8_reference","NC_017592"
"mepA","","Multidrug export protein MepA","14","14","1","1","1922","","","","1061","1370","1347","AP023349_00336","GPSC15_reference_01721","GPSC21_reference_01763","GPSC22_reference_01774","GPSC26_reference_01873","GPSC31_reference_01791","GPSC32_reference_01877","GPSC34_reference_01800","GPSC37_reference_01780","GPSC3_reference_01865","GPSC40_reference_01827","GPSC4_reference_01807","GPSC8_reference_01928","NC_017592_01796"
"trkA","","Trk system potassium uptake protein TrkA","14","14","1","1","3011","","","","293","1349","1273","AP023349_00364","GPSC15_reference_00446","GPSC21_reference_00404","GPSC22_reference_00445","GPSC26_reference_00445","GPSC31_reference_00451","GPSC32_reference_00525","GPSC34_reference_00489","GPSC37_reference_00465","GPSC3_reference_00458","GPSC40_reference_00470","GPSC4_reference_00421","GPSC8_reference_00521","NC_017592_00474"
"ycfH","","putative metal-dependent hydrolase YcfH","14","14","1","1","741","","","","773","773","773","AP023349_00384","GPSC15_reference_01764","GPSC21_reference_01807","GPSC22_reference_01818","GPSC26_reference_01917","GPSC31_reference_01838","GPSC32_reference_01928","GPSC34_reference_01843","GPSC37_reference_01823","GPSC3_reference_01909","GPSC40_reference_01872","GPSC4_reference_01850","GPSC8_reference_01972","NC_017592_01840"
"rsmD","","Ribosomal RNA small subunit methyltransferase D","14","14","1","1","1961","","","","539","539","539","AP023349_00418","GPSC15_reference_01743","GPSC21_reference_01786","GPSC22_reference_01797","GPSC26_reference_01896","GPSC31_reference_01816","GPSC32_reference_01907","GPSC34_reference_01823","GPSC37_reference_01803","GPSC3_reference_01887","GPSC40_reference_01851","GPSC4_reference_01829","GPSC8_reference_01951","NC_017592_01819"
"endA","","DNA-entry nuclease","14","14","1","1","1967","","","","824","824","824","AP023349_00422","GPSC15_reference_01737","GPSC21_reference_01780","GPSC22_reference_01791","GPSC26_reference_01890","GPSC31_reference_01810","GPSC32_reference_01901","GPSC34_reference_01817","GPSC37_reference_01797","GPSC3_reference_01881","GPSC40_reference_01845","GPSC4_reference_01823","GPSC8_reference_01945","NC_017592_01813"
"oppC","","Oligopeptide transport system permease protein OppC","14","14","1","1","3096","","","","416","926","889","AP023349_00427","GPSC15_reference_01663","GPSC21_reference_01697","GPSC22_reference_01712","GPSC26_reference_01803","GPSC31_reference_01737","GPSC32_reference_01820","GPSC34_reference_01743","GPSC37_reference_01714","GPSC3_reference_01799","GPSC40_reference_01763","GPSC4_reference_01750","GPSC8_reference_01859","NC_017592_01727"
"group_1008","","Tyrosine recombinase XerD-like protein","14","14","1","1","3086","","","","731","740","734","AP023349_00445","GPSC15_reference_01651","GPSC21_reference_01683","GPSC22_reference_01697","GPSC26_reference_01787","GPSC31_reference_01721","GPSC32_reference_01804","GPSC34_reference_01729","GPSC37_reference_01700","GPSC3_reference_01783","GPSC40_reference_01749","GPSC4_reference_01736","GPSC8_reference_01844","NC_017592_01713"
"pepA_2","","Glutamyl aminopeptidase","14","14","1","1","3070","","","","821","1064","1046","AP023349_00450","GPSC15_reference_01641","GPSC21_reference_01673","GPSC22_reference_01687","GPSC26_reference_01777","GPSC31_reference_01711","GPSC32_reference_01794","GPSC34_reference_01719","GPSC37_reference_01690","GPSC3_reference_01773","GPSC40_reference_01739","GPSC4_reference_01726","GPSC8_reference_01834","NC_017592_01703"
"group_1011","","hypothetical protein","14","14","1","1","4248","","","","1049","1049","1049","AP023349_00469","GPSC15_reference_00482","GPSC21_reference_00440","GPSC22_reference_00481","GPSC26_reference_00482","GPSC31_reference_00494","GPSC32_reference_00562","GPSC34_reference_00522","GPSC37_reference_00501","GPSC3_reference_00493","GPSC40_reference_00514","GPSC4_reference_00502","GPSC8_reference_00553","NC_017592_00510"
"group_1012","","hypothetical protein","14","14","1","1","1380","","","","1334","1334","1334","AP023349_00496","GPSC15_reference_00511","GPSC21_reference_00536","GPSC22_reference_00512","GPSC26_reference_00516","GPSC31_reference_00528","GPSC32_reference_00592","GPSC34_reference_00559","GPSC37_reference_00534","GPSC3_reference_00522","GPSC40_reference_00543","GPSC4_reference_00472","GPSC8_reference_00596","NC_017592_00539"
"group_1013","","hypothetical protein","14","14","1","1","1382","","","","395","395","395","AP023349_00498","GPSC15_reference_00513","GPSC21_reference_00538","GPSC22_reference_00514","GPSC26_reference_00518","GPSC31_reference_00530","GPSC32_reference_00594","GPSC34_reference_00561","GPSC37_reference_00536","GPSC3_reference_00524","GPSC40_reference_00545","GPSC4_reference_00470","GPSC8_reference_00598","NC_017592_00541"
"valS","","Valine--tRNA ligase","14","14","1","1","1393","","","","2651","2651","2651","AP023349_00501","GPSC15_reference_00517","GPSC21_reference_00542","GPSC22_reference_00518","GPSC26_reference_00522","GPSC31_reference_00534","GPSC32_reference_00598","GPSC34_reference_00565","GPSC37_reference_00540","GPSC3_reference_00528","GPSC40_reference_00549","GPSC4_reference_00466","GPSC8_reference_00602","NC_017592_00545"
"rpoE","","putative DNA-directed RNA polymerase subunit delta","14","14","1","1","3037","","","","587","602","588","AP023349_00505","GPSC15_reference_00457","GPSC21_reference_00415","GPSC22_reference_00456","GPSC26_reference_00456","GPSC31_reference_00471","GPSC32_reference_00535","GPSC34_reference_00500","GPSC37_reference_00476","GPSC3_reference_00469","GPSC40_reference_00490","GPSC4_reference_00432","GPSC8_reference_00532","NC_017592_00485"
"pyrG","","CTP synthase","14","14","1","1","3040","","","","563","1607","1532","AP023349_00506","GPSC15_reference_00458","GPSC21_reference_00416","GPSC22_reference_00457","GPSC26_reference_00457","GPSC31_reference_00472","GPSC32_reference_00536","GPSC34_reference_00501","GPSC37_reference_00477","GPSC3_reference_00470","GPSC40_reference_00491","GPSC4_reference_00433","GPSC8_reference_00533","NC_017592_00486"
"group_1018","","hypothetical protein","14","14","1","1","1890","","","","299","299","299","AP023349_00509","GPSC15_reference_01698","GPSC21_reference_01732","GPSC22_reference_01749","GPSC26_reference_01847","GPSC31_reference_01766","GPSC32_reference_01853","GPSC34_reference_01776","GPSC37_reference_01749","GPSC3_reference_01843","GPSC40_reference_01795","GPSC4_reference_01784","GPSC8_reference_01905","NC_017592_01773"
"group_1019","","hypothetical protein","14","14","1","1","1886","","","","626","629","626","AP023349_00511","GPSC15_reference_01696","GPSC21_reference_01730","GPSC22_reference_01747","GPSC26_reference_01845","GPSC31_reference_01764","GPSC32_reference_01851","GPSC34_reference_01774","GPSC37_reference_01747","GPSC3_reference_01841","GPSC40_reference_01793","GPSC4_reference_01782","GPSC8_reference_01903","NC_017592_01771"
"group_1020","","hypothetical protein","14","14","1","1","3054","","","","1520","1520","1520","AP023349_00550","GPSC15_reference_01636","GPSC21_reference_01668","GPSC22_reference_01682","GPSC26_reference_01772","GPSC31_reference_01706","GPSC32_reference_01789","GPSC34_reference_01714","GPSC37_reference_01685","GPSC3_reference_01768","GPSC40_reference_01734","GPSC4_reference_01721","GPSC8_reference_01829","NC_017592_01698"
"galK_2","","Galactokinase","14","14","1","1","3046","","","","1178","1178","1178","AP023349_00554","GPSC15_reference_01629","GPSC21_reference_01661","GPSC22_reference_01675","GPSC26_reference_01765","GPSC31_reference_01699","GPSC32_reference_01782","GPSC34_reference_01707","GPSC37_reference_01678","GPSC3_reference_01761","GPSC40_reference_01727","GPSC4_reference_01714","GPSC8_reference_01822","NC_017592_01691"
"galT","","Galactose-1-phosphate uridylyltransferase","14","14","1","1","3045","","","","1481","1484","1481","AP023349_00555","GPSC15_reference_01628","GPSC21_reference_01660","GPSC22_reference_01674","GPSC26_reference_01764","GPSC31_reference_01698","GPSC32_reference_01781","GPSC34_reference_01706","GPSC37_reference_01677","GPSC3_reference_01760","GPSC40_reference_01726","GPSC4_reference_01713","GPSC8_reference_01821","NC_017592_01690"
"paaI","","Acyl-coenzyme A thioesterase PaaI","14","14","1","1","1714","","","","404","404","404","AP023349_00556","GPSC15_reference_01627","GPSC21_reference_01659","GPSC22_reference_01673","GPSC26_reference_01763","GPSC31_reference_01697","GPSC32_reference_01780","GPSC34_reference_01705","GPSC37_reference_01676","GPSC3_reference_01759","GPSC40_reference_01725","GPSC4_reference_01712","GPSC8_reference_01820","NC_017592_01689"
"yheI","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheI","14","14","1","1","1730","","","","1745","1745","1745","AP023349_00566","GPSC15_reference_01617","GPSC21_reference_01648","GPSC22_reference_01662","GPSC26_reference_01752","GPSC31_reference_01685","GPSC32_reference_01769","GPSC34_reference_01695","GPSC37_reference_01666","GPSC3_reference_01748","GPSC40_reference_01715","GPSC4_reference_01700","GPSC8_reference_01809","NC_017592_01678"
"yheH","","putative multidrug resistance ABC transporter ATP-binding/permease protein YheH","14","14","1","1","1731","","","","1742","1751","1750","AP023349_00567","GPSC15_reference_01616","GPSC21_reference_01647","GPSC22_reference_01661","GPSC26_reference_01751","GPSC31_reference_01684","GPSC32_reference_01768","GPSC34_reference_01694","GPSC37_reference_01665","GPSC3_reference_01747","GPSC40_reference_01714","GPSC4_reference_01699","GPSC8_reference_01808","NC_017592_01677"
