"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPSC15_reference","GPSC17_reference","GPSC22_reference","GPSC25_reference","GPSC26_reference","GPSC32_reference","GPSC34_reference","GPSC37_reference","GPSC3_reference","GPSC4_reference","GPSC5_reference","GPSC8_reference","JYGP01","NC_017592"
"pdp","","Pyrimidine-nucleoside phosphorylase","14","14","1","1","210","","","","1277","1277","1277","GPSC15_reference_00775","GPSC17_reference_00786","GPSC22_reference_00754","GPSC25_reference_00891","GPSC26_reference_00778","GPSC32_reference_00835","GPSC34_reference_00793","GPSC37_reference_00784","GPSC3_reference_00769","GPSC4_reference_00735","GPSC5_reference_00827","GPSC8_reference_00838","JYGP01_00593","NC_017592_00777"
"iscU","","Iron-sulfur cluster assembly scaffold protein IscU","14","14","1","1","146","","","","440","440","440","GPSC15_reference_00804","GPSC17_reference_00818","GPSC22_reference_00786","GPSC25_reference_00923","GPSC26_reference_00811","GPSC32_reference_00867","GPSC34_reference_00821","GPSC37_reference_00816","GPSC3_reference_00801","GPSC4_reference_00766","GPSC5_reference_00860","GPSC8_reference_00869","JYGP01_00617","NC_017592_00811"
"hsdM","","Type I restriction enzyme EcoKI M protein","14","14","1","1","2504","","","","791","1493","1442","GPSC15_reference_00822","GPSC17_reference_00835","GPSC22_reference_00803","GPSC25_reference_00941","GPSC26_reference_00828","GPSC32_reference_00887","GPSC34_reference_00841","GPSC37_reference_00833","GPSC3_reference_00872","GPSC4_reference_00781","GPSC5_reference_00877","GPSC8_reference_00886","JYGP01_00982","NC_017592_00828"
"group_1004","","Putative two-component membrane permease complex subunit SMU_747c","14","14","1","1","2514","","","","905","905","905","GPSC15_reference_00837","GPSC17_reference_00852","GPSC22_reference_00821","GPSC25_reference_00959","GPSC26_reference_00841","GPSC32_reference_00905","GPSC34_reference_00858","GPSC37_reference_00851","GPSC3_reference_00891","GPSC4_reference_00794","GPSC5_reference_00894","GPSC8_reference_00903","JYGP01_00972","NC_017592_00847"
"group_1005","","hypothetical protein","14","14","1","1","1531","","","","131","131","131","GPSC15_reference_00838","GPSC17_reference_00853","GPSC22_reference_00822","GPSC25_reference_00960","GPSC26_reference_00842","GPSC32_reference_00906","GPSC34_reference_00859","GPSC37_reference_00852","GPSC3_reference_00892","GPSC4_reference_00795","GPSC5_reference_00895","GPSC8_reference_00904","JYGP01_00971","NC_017592_00848"
"yidA_1","","Sugar phosphatase YidA","14","14","1","1","3849","","","","809","809","809","GPSC15_reference_00852","GPSC17_reference_00870","GPSC22_reference_00839","GPSC25_reference_00977","GPSC26_reference_00859","GPSC32_reference_00922","GPSC34_reference_00875","GPSC37_reference_00867","GPSC3_reference_00911","GPSC4_reference_00814","GPSC5_reference_00913","GPSC8_reference_00922","JYGP01_00841","NC_017592_00866"
"proA","","Gamma-glutamyl phosphate reductase","14","14","1","1","3860","","","","1262","1262","1262","GPSC15_reference_00860","GPSC17_reference_00878","GPSC22_reference_00847","GPSC25_reference_00985","GPSC26_reference_00867","GPSC32_reference_00930","GPSC34_reference_00884","GPSC37_reference_00875","GPSC3_reference_00919","GPSC4_reference_00822","GPSC5_reference_00921","GPSC8_reference_00930","JYGP01_00636","NC_017592_00874"
"tmk","","Thymidylate kinase","14","14","1","1","3862","","","","638","638","638","GPSC15_reference_00862","GPSC17_reference_00880","GPSC22_reference_00849","GPSC25_reference_00987","GPSC26_reference_00869","GPSC32_reference_00932","GPSC34_reference_00886","GPSC37_reference_00877","GPSC3_reference_00921","GPSC4_reference_00824","GPSC5_reference_00923","GPSC8_reference_00932","JYGP01_00638","NC_017592_00876"
"group_1011","","hypothetical protein","14","14","1","1","3863","","","","890","890","890","GPSC15_reference_00863","GPSC17_reference_00881","GPSC22_reference_00850","GPSC25_reference_00988","GPSC26_reference_00870","GPSC32_reference_00933","GPSC34_reference_00887","GPSC37_reference_00878","GPSC3_reference_00922","GPSC4_reference_00825","GPSC5_reference_00924","GPSC8_reference_00933","JYGP01_00639","NC_017592_00877"
"rsmI","","Ribosomal RNA small subunit methyltransferase I","14","14","1","1","3865","","","","869","878","870","GPSC15_reference_00865","GPSC17_reference_00883","GPSC22_reference_00852","GPSC25_reference_00990","GPSC26_reference_00872","GPSC32_reference_00935","GPSC34_reference_00889","GPSC37_reference_00880","GPSC3_reference_00924","GPSC4_reference_00827","GPSC5_reference_00926","GPSC8_reference_00935","JYGP01_00641","NC_017592_00879"
